Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.058946,0.014737,0.014737,0.014737
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.052766,0.014064,0.012560,0.013191
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],12017.507563,3007.105198,3000.806799,3004.376891
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.196770,0.854538,0.773987,0.799193
openmp-perfmon,BaseStrainMapping applyJ,Load to Store ratio,5.996272,1.518436,1.481061,1.499068
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.155350,0.038838,0.038838,0.038838
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.157940,0.040880,0.038215,0.039485
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11999.403110,3001.431087,2999.113713,2999.850778
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.763621,0.726990,0.673976,0.690905
openmp-perfmon,BaseDeformationMapping applyJ,Load to Store ratio,7.388934,1.865200,1.838208,1.847234
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.030591,0.007648,0.007648,0.007648
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.045789,0.011760,0.011176,0.011447
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12009.084419,3008.485780,3000.091179,3002.271105
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.307482,1.102395,1.037593,1.076870
openmp-perfmon,BaseStrainMapping applyJT,Load to Store ratio,8.819111,2.256270,2.176935,2.204778
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.003956,0.000989,0.000989,0.000989
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002870,0.000779,0.000685,0.000718
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],12006.672092,3002.960540,2999.790137,3001.668023
openmp-perfmon,BaseStrainMapping apply,CPI,3.075918,0.834614,0.742728,0.768979
openmp-perfmon,BaseStrainMapping apply,Load to Store ratio,5.656959,1.436964,1.397391,1.414240
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000228,0.000057,0.000057,0.000057
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000848,0.000848,0.000000,0.000212
