Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.396434
openmp,Full,Througput [FPS],252.249
openmp,Full,INSTR_RETIRED_ANY,14671652312.000000,8196352071.000000,495063833.000000,3667913078.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,8483508499.000000,4163986275.000000,356675066.000000,2120877124.750000
openmp,Full,CPU_CLK_UNHALTED_REF,8483826600.000000,4164123690.000000,356657490.000000,2120956650.000000
openmp,Full,MEM_UOP_RETIRED_LOADS,2925646604.000000,1523856944.000000,128206783.000000,731411651.000000
openmp,Full,MEM_UOP_RETIRED_STORES,1248015422.000000,595284124.000000,52035611.000000,312003855.500000
openmp,Full,INSTR_RETIRED_ANY,14671652312.000000,8196352071.000000,495063833.000000,3667913078.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,8483508499.000000,4163986275.000000,356675066.000000,2120877124.750000
openmp,Full,CPU_CLK_UNHALTED_REF,8483826600.000000,4164123690.000000,356657490.000000,2120956650.000000
openmp,Full,MEM_UOP_RETIRED_LOADS,2925646604.000000,1523856944.000000,128206783.000000,731411651.000000
openmp,Full,MEM_UOP_RETIRED_STORES,1248015422.000000,595284124.000000,52035611.000000,312003855.500000
openmp,Full,INSTR_RETIRED_ANY,14671652312.000000,8196352071.000000,495063833.000000,3667913078.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,8483508499.000000,4163986275.000000,356675066.000000,2120877124.750000
openmp,Full,CPU_CLK_UNHALTED_REF,8483826600.000000,4164123690.000000,356657490.000000,2120956650.000000
openmp,Full,MEM_UOP_RETIRED_LOADS,2925646604.000000,1523856944.000000,128206783.000000,731411651.000000
openmp,Full,MEM_UOP_RETIRED_STORES,1248015422.000000,595284124.000000,52035611.000000,312003855.500000
