Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.402132
openmp,Full,Througput [FPS],248.675
openmp,Full,Runtime (RDTSC) [s],10.864376,2.716094,2.716094,2.716094
openmp,Full,Runtime unhalted [s],2.839500,1.397189,0.119282,0.709875
openmp,Full,Clock [MHz],11970.640265,2992.889813,2992.407539,2992.660066
openmp,Full,CPI,2.640402,0.762935,0.439553,0.660100
openmp,Full,Load to Store ratio,9.562221,2.560228,2.087826,2.390555
openmp,Full,Runtime (RDTSC) [s],10.864376,2.716094,2.716094,2.716094
openmp,Full,Runtime unhalted [s],2.839500,1.397189,0.119282,0.709875
openmp,Full,Clock [MHz],11970.640265,2992.889813,2992.407539,2992.660066
openmp,Full,CPI,2.640402,0.762935,0.439553,0.660100
openmp,Full,Load to Store ratio,9.562221,2.560228,2.087826,2.390555
openmp,Full,Runtime (RDTSC) [s],10.864376,2.716094,2.716094,2.716094
openmp,Full,Runtime unhalted [s],2.839500,1.397189,0.119282,0.709875
openmp,Full,Clock [MHz],11970.640265,2992.889813,2992.407539,2992.660066
openmp,Full,CPI,2.640402,0.762935,0.439553,0.660100
openmp,Full,Load to Store ratio,9.562221,2.560228,2.087826,2.390555
