Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,192589900.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,91158390.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,90991860.000000
seq-perfmon,BaseStrainMapping applyJ,MEM_UOP_RETIRED_LOADS,38506180.000000
seq-perfmon,BaseStrainMapping applyJ,MEM_UOP_RETIRED_STORES,27129440.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,683290300.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,336543600.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,336249800.000000
seq-perfmon,BaseDeformationMapping applyJ,MEM_UOP_RETIRED_LOADS,186679500.000000
seq-perfmon,BaseDeformationMapping applyJ,MEM_UOP_RETIRED_STORES,105432800.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,121891900.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,69823770.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,69670770.000000
seq-perfmon,BaseStrainMapping applyJT,MEM_UOP_RETIRED_LOADS,28664370.000000
seq-perfmon,BaseStrainMapping applyJT,MEM_UOP_RETIRED_STORES,13628590.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,10878650.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,5152826.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,5145150.000000
seq-perfmon,BaseStrainMapping apply,MEM_UOP_RETIRED_LOADS,2313315.000000
seq-perfmon,BaseStrainMapping apply,MEM_UOP_RETIRED_STORES,1712235.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,1278372.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,3966921.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,3949470.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,MEM_UOP_RETIRED_LOADS,335626.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,MEM_UOP_RETIRED_STORES,155439.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,9385675.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,28194770.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,28041240.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,MEM_UOP_RETIRED_LOADS,2425636.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,MEM_UOP_RETIRED_STORES,1136088.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,8552542.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,25876720.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,25698660.000000
seq-perfmon,BaseDeformationMapping applyJ else,MEM_UOP_RETIRED_LOADS,2218998.000000
seq-perfmon,BaseDeformationMapping applyJ else,MEM_UOP_RETIRED_STORES,1031240.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,424865900.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,231632400.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,231368600.000000
seq-perfmon,BaseDeformationMapping applyJT vec,MEM_UOP_RETIRED_LOADS,141378000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,MEM_UOP_RETIRED_STORES,44032900.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,170071000.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,80674960.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,80556600.000000
seq-perfmon,BaseStrainMapping applyDJT,MEM_UOP_RETIRED_LOADS,32892650.000000
seq-perfmon,BaseStrainMapping applyDJT,MEM_UOP_RETIRED_STORES,17278150.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,91192020.000000
