Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.422533
seq,Full,Througput [FPS],236.668
seq,Full,Runtime (RDTSC) [s],3.993870
seq,Full,Runtime unhalted [s],2.425578
seq,Full,Clock [MHz],2992.771980
seq,Full,CPI,0.640654
seq,Full,Load to Store ratio,2.865592
seq,Full,Runtime (RDTSC) [s],3.993870
seq,Full,Runtime unhalted [s],2.425578
seq,Full,Clock [MHz],2992.771980
seq,Full,CPI,0.640654
seq,Full,Load to Store ratio,2.865592
seq,Full,Runtime (RDTSC) [s],3.993870
seq,Full,Runtime unhalted [s],2.425578
seq,Full,Clock [MHz],2992.771980
seq,Full,CPI,0.640654
seq,Full,Load to Store ratio,2.865592
