Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.424638
seq,Full,Througput [FPS],235.495
seq,Full,INSTR_RETIRED_ANY,11328979265.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7262591052.000000
seq,Full,CPU_CLK_UNHALTED_REF,7262845800.000000
seq,Full,MEM_UOP_RETIRED_LOADS,2775387811.000000
seq,Full,MEM_UOP_RETIRED_STORES,968391343.000000
seq,Full,INSTR_RETIRED_ANY,11328979265.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7262591052.000000
seq,Full,CPU_CLK_UNHALTED_REF,7262845800.000000
seq,Full,MEM_UOP_RETIRED_LOADS,2775387811.000000
seq,Full,MEM_UOP_RETIRED_STORES,968391343.000000
seq,Full,INSTR_RETIRED_ANY,11328979265.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7262591052.000000
seq,Full,CPU_CLK_UNHALTED_REF,7262845800.000000
seq,Full,MEM_UOP_RETIRED_LOADS,2775387811.000000
seq,Full,MEM_UOP_RETIRED_STORES,968391343.000000
