Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.396266
openmp,Full,Througput [FPS],252.356
openmp,Full,Runtime (RDTSC) [s],10.798638,2.699660,2.699660,2.699660
openmp,Full,Runtime unhalted [s],2.833486,1.389483,0.120847,0.708371
openmp,Full,Clock [MHz],11968.867254,2992.416679,2991.999181,2992.216814
openmp,Full,CPI,2.648067,0.758921,0.439262,0.662017
openmp,Full,L2 Load [MBytes/s],4471.647625,3782.542347,179.535006,1117.911906
openmp,Full,L2 Evict [MBytes/s],395.971235,238.639775,16.743468,98.992809
openmp,Full,L2 bandwidth [MBytes/s],4867.618860,4021.182122,196.278475,1216.904715
openmp,Full,L2 data volume [GBytes],13.140914,10.855823,0.529885,3.285228
openmp,Full,Runtime (RDTSC) [s],10.798638,2.699660,2.699660,2.699660
openmp,Full,Runtime unhalted [s],2.833486,1.389483,0.120847,0.708371
openmp,Full,Clock [MHz],11968.867254,2992.416679,2991.999181,2992.216814
openmp,Full,CPI,2.648067,0.758921,0.439262,0.662017
openmp,Full,L2 Load [MBytes/s],4471.647625,3782.542347,179.535006,1117.911906
openmp,Full,L2 Evict [MBytes/s],395.971235,238.639775,16.743468,98.992809
openmp,Full,L2 bandwidth [MBytes/s],4867.618860,4021.182122,196.278475,1216.904715
openmp,Full,L2 data volume [GBytes],13.140914,10.855823,0.529885,3.285228
openmp,Full,Runtime (RDTSC) [s],10.798638,2.699660,2.699660,2.699660
openmp,Full,Runtime unhalted [s],2.833486,1.389483,0.120847,0.708371
openmp,Full,Clock [MHz],11968.867254,2992.416679,2991.999181,2992.216814
openmp,Full,CPI,2.648067,0.758921,0.439262,0.662017
openmp,Full,L2 Load [MBytes/s],4471.647625,3782.542347,179.535006,1117.911906
openmp,Full,L2 Evict [MBytes/s],395.971235,238.639775,16.743468,98.992809
openmp,Full,L2 bandwidth [MBytes/s],4867.618860,4021.182122,196.278475,1216.904715
openmp,Full,L2 data volume [GBytes],13.140914,10.855823,0.529885,3.285228
