Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.397668
openmp,Full,Througput [FPS],251.466
openmp,Full,INSTR_RETIRED_ANY,14673075177.000000,8188525562.000000,497604452.000000,3668268794.250000
openmp,Full,CPU_CLK_UNHALTED_CORE,8502400703.000000,4167922870.000000,361467325.000000,2125600175.750000
openmp,Full,CPU_CLK_UNHALTED_REF,8503034730.000000,4168173570.000000,361490970.000000,2125758682.500000
openmp,Full,L1D_REPLACEMENT,188543316.000000,159272641.000000,7603582.000000,47135829.000000
openmp,Full,L1D_M_EVICT,16616754.000000,10050638.000000,659747.000000,4154188.500000
openmp,Full,INSTR_RETIRED_ANY,14673075177.000000,8188525562.000000,497604452.000000,3668268794.250000
openmp,Full,CPU_CLK_UNHALTED_CORE,8502400703.000000,4167922870.000000,361467325.000000,2125600175.750000
openmp,Full,CPU_CLK_UNHALTED_REF,8503034730.000000,4168173570.000000,361490970.000000,2125758682.500000
openmp,Full,L1D_REPLACEMENT,188543316.000000,159272641.000000,7603582.000000,47135829.000000
openmp,Full,L1D_M_EVICT,16616754.000000,10050638.000000,659747.000000,4154188.500000
openmp,Full,INSTR_RETIRED_ANY,14673075177.000000,8188525562.000000,497604452.000000,3668268794.250000
openmp,Full,CPU_CLK_UNHALTED_CORE,8502400703.000000,4167922870.000000,361467325.000000,2125600175.750000
openmp,Full,CPU_CLK_UNHALTED_REF,8503034730.000000,4168173570.000000,361490970.000000,2125758682.500000
openmp,Full,L1D_REPLACEMENT,188543316.000000,159272641.000000,7603582.000000,47135829.000000
openmp,Full,L1D_M_EVICT,16616754.000000,10050638.000000,659747.000000,4154188.500000
