Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.423804
seq,Full,Througput [FPS],235.958
seq,Full,INSTR_RETIRED_ANY,11330973312.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7307504634.000000
seq,Full,CPU_CLK_UNHALTED_REF,7307583870.000000
seq,Full,L1D_REPLACEMENT,170197633.000000
seq,Full,L1D_M_EVICT,10925106.000000
seq,Full,INSTR_RETIRED_ANY,11330973312.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7307504634.000000
seq,Full,CPU_CLK_UNHALTED_REF,7307583870.000000
seq,Full,L1D_REPLACEMENT,170197633.000000
seq,Full,L1D_M_EVICT,10925106.000000
seq,Full,INSTR_RETIRED_ANY,11330973312.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7307504634.000000
seq,Full,CPU_CLK_UNHALTED_REF,7307583870.000000
seq,Full,L1D_REPLACEMENT,170197633.000000
seq,Full,L1D_M_EVICT,10925106.000000
