Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.422786
seq,Full,Througput [FPS],236.526
seq,Full,Runtime (RDTSC) [s],4.009939
seq,Full,Runtime unhalted [s],2.437233
seq,Full,Clock [MHz],2992.770848
seq,Full,CPI,0.643906
seq,Full,L2 Load [MBytes/s],2709.273153
seq,Full,L2 Evict [MBytes/s],181.006808
seq,Full,L2 bandwidth [MBytes/s],2890.279962
seq,Full,L2 data volume [GBytes],11.589847
seq,Full,Runtime (RDTSC) [s],4.009939
seq,Full,Runtime unhalted [s],2.437233
seq,Full,Clock [MHz],2992.770848
seq,Full,CPI,0.643906
seq,Full,L2 Load [MBytes/s],2709.273153
seq,Full,L2 Evict [MBytes/s],181.006808
seq,Full,L2 bandwidth [MBytes/s],2890.279962
seq,Full,L2 data volume [GBytes],11.589847
seq,Full,Runtime (RDTSC) [s],4.009939
seq,Full,Runtime unhalted [s],2.437233
seq,Full,Clock [MHz],2992.770848
seq,Full,CPI,0.643906
seq,Full,L2 Load [MBytes/s],2709.273153
seq,Full,L2 Evict [MBytes/s],181.006808
seq,Full,L2 bandwidth [MBytes/s],2890.279962
seq,Full,L2 data volume [GBytes],11.589847
