Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.061701,0.015425,0.015425,0.015425
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.052759,0.013873,0.012567,0.013190
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],12011.284236,3005.144684,3000.985960,3002.821059
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.191461,0.811490,0.777781,0.797865
openmp-perfmon,BaseStrainMapping applyJ,L2 request rate,0.180971,0.051739,0.039110,0.045243
openmp-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.033951,0.009706,0.007323,0.008488
openmp-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.749917,0.194914,0.180174,0.187479
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.152234,0.038059,0.038059,0.038059
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.156804,0.040073,0.038304,0.039201
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11999.330061,3001.229481,2998.438524,2999.832515
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.740983,0.696826,0.675804,0.685246
openmp-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.160076,0.046768,0.034267,0.040019
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.035656,0.012699,0.006474,0.008914
openmp-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.876701,0.271534,0.188921,0.219175
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.032977,0.008244,0.008244,0.008244
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.046154,0.011847,0.011328,0.011539
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12014.620875,3007.971379,3000.393470,3003.655219
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.330037,1.121462,1.026407,1.082509
openmp-perfmon,BaseStrainMapping applyJT,L2 request rate,0.281186,0.082125,0.063481,0.070296
openmp-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.054369,0.014942,0.012357,0.013592
openmp-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.775862,0.201157,0.181940,0.193965
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.004345,0.001086,0.001086,0.001086
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002872,0.000749,0.000682,0.000718
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],12008.206869,3004.603071,2999.791596,3002.051717
openmp-perfmon,BaseStrainMapping apply,CPI,3.076083,0.792341,0.746103,0.769021
openmp-perfmon,BaseStrainMapping apply,L2 request rate,0.180892,0.048225,0.039580,0.045223
openmp-perfmon,BaseStrainMapping apply,L2 miss rate,0.037854,0.010639,0.008013,0.009463
openmp-perfmon,BaseStrainMapping apply,L2 miss ratio,0.835846,0.220618,0.194735,0.208961
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000243,0.000061,0.000061,0.000061
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000892,0.000892,0.000000,0.000223
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3014.083119,3014.083119,0.000000,753.520780
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.539279,3.539279,0.000000,0.884820
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.115621,0.115621,0.000000,0.028905
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.008824,0.008824,0.000000,0.002206
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.076319,0.076319,0.000000,0.019080
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000956,0.000239,0.000239,0.000239
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.006140,0.006140,0.000000,0.001535
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3013.655535,3013.655535,0.000000,753.413884
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.338014,3.338014,0.000000,0.834504
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.102003,0.102003,0.000000,0.025501
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.005155,0.005155,0.000000,0.001289
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.050535,0.050535,0.000000,0.012634
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000954,0.000238,0.000238,0.000238
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.005622,0.005622,0.000000,0.001405
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3013.466078,3013.466078,0.000000,753.366520
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,3.360124,3.360124,0.000000,0.840031
openmp-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.109072,0.109072,0.000000,0.027268
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.006726,0.006726,0.000000,0.001682
openmp-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.061668,0.061668,0.000000,0.015417
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.210620,0.052655,0.052655,0.052655
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.191332,0.051453,0.044138,0.047833
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11990.234271,2999.049602,2996.161469,2997.558568
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,5.595199,1.620915,0.868514,1.398800
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.712950,0.204132,0.135961,0.178238
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.172340,0.052692,0.032877,0.043085
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,0.964414,0.258129,0.224328,0.241104
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.064431,0.016108,0.016108,0.016108
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.049930,0.013100,0.011817,0.012482
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],12013.987968,3005.285963,3002.649686,3003.496992
openmp-perfmon,BaseStrainMapping applyDJT,CPI,3.342100,0.850795,0.812130,0.835525
openmp-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.186474,0.049367,0.045111,0.046618
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.027992,0.008864,0.005950,0.006998
openmp-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.598268,0.179543,0.129235,0.149567
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.026320,0.006580,0.006580,0.006580
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.024067,0.006277,0.005762,0.006017
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11992.960721,2999.531980,2996.570281,2998.240180
openmp-perfmon,BaseDeformationMapping apply,CPI,3.105698,0.795036,0.758234,0.776425
openmp-perfmon,BaseDeformationMapping apply,L2 request rate,0.214261,0.061966,0.048586,0.053565
openmp-perfmon,BaseDeformationMapping apply,L2 miss rate,0.058261,0.018808,0.012681,0.014565
