Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.394301
openmp,Full,Througput [FPS],253.613
openmp,Full,Runtime (RDTSC) [s],10.803368,2.700842,2.700842,2.700842
openmp,Full,Runtime unhalted [s],2.836845,1.390386,0.120567,0.709211
openmp,Full,Clock [MHz],11970.265116,2992.792212,2992.098425,2992.566279
openmp,Full,CPI,2.646622,0.759538,0.440188,0.661655
openmp,Full,L2 request rate,0.158669,0.050717,0.008755,0.039667
openmp,Full,L2 miss rate,0.028823,0.010031,0.001805,0.007206
openmp,Full,L2 miss ratio,0.746549,0.206204,0.170888,0.186637
openmp,Full,Runtime (RDTSC) [s],10.803368,2.700842,2.700842,2.700842
openmp,Full,Runtime unhalted [s],2.836845,1.390386,0.120567,0.709211
openmp,Full,Clock [MHz],11970.265116,2992.792212,2992.098425,2992.566279
openmp,Full,CPI,2.646622,0.759538,0.440188,0.661655
openmp,Full,L2 request rate,0.158669,0.050717,0.008755,0.039667
openmp,Full,L2 miss rate,0.028823,0.010031,0.001805,0.007206
openmp,Full,L2 miss ratio,0.746549,0.206204,0.170888,0.186637
openmp,Full,Runtime (RDTSC) [s],10.803368,2.700842,2.700842,2.700842
openmp,Full,Runtime unhalted [s],2.836845,1.390386,0.120567,0.709211
openmp,Full,Clock [MHz],11970.265116,2992.792212,2992.098425,2992.566279
openmp,Full,CPI,2.646622,0.759538,0.440188,0.661655
openmp,Full,L2 request rate,0.158669,0.050717,0.008755,0.039667
openmp,Full,L2 miss rate,0.028823,0.010031,0.001805,0.007206
openmp,Full,L2 miss ratio,0.746549,0.206204,0.170888,0.186637
