Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.395488
openmp,Full,Througput [FPS],252.852
openmp,Full,INSTR_RETIRED_ANY,14667906730.000000,8190267990.000000,495980586.000000,3666976682.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,8480531034.000000,4157409136.000000,360172855.000000,2120132758.500000
openmp,Full,CPU_CLK_UNHALTED_REF,8481396270.000000,4157571930.000000,360155040.000000,2120349067.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,397961519.000000,275675139.000000,24191553.000000,99490379.750000
openmp,Full,L2_RQSTS_MISS,69898802.000000,45458816.000000,4268179.000000,17474700.500000
openmp,Full,INSTR_RETIRED_ANY,14667906730.000000,8190267990.000000,495980586.000000,3666976682.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,8480531034.000000,4157409136.000000,360172855.000000,2120132758.500000
openmp,Full,CPU_CLK_UNHALTED_REF,8481396270.000000,4157571930.000000,360155040.000000,2120349067.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,397961519.000000,275675139.000000,24191553.000000,99490379.750000
openmp,Full,L2_RQSTS_MISS,69898802.000000,45458816.000000,4268179.000000,17474700.500000
openmp,Full,INSTR_RETIRED_ANY,14667906730.000000,8190267990.000000,495980586.000000,3666976682.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,8480531034.000000,4157409136.000000,360172855.000000,2120132758.500000
openmp,Full,CPU_CLK_UNHALTED_REF,8481396270.000000,4157571930.000000,360155040.000000,2120349067.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,397961519.000000,275675139.000000,24191553.000000,99490379.750000
openmp,Full,L2_RQSTS_MISS,69898802.000000,45458816.000000,4268179.000000,17474700.500000
