Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.021474
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.030426
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2994.202097
seq-perfmon,BaseStrainMapping applyJ,CPI,0.473037
seq-perfmon,BaseStrainMapping applyJ,L2 request rate,0.030563
seq-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.006930
seq-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.226728
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.093406
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.112362
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.383735
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.492363
seq-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.031522
seq-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.009380
seq-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.297561
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.013733
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.023441
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2998.927458
seq-perfmon,BaseStrainMapping applyJT,CPI,0.575809
seq-perfmon,BaseStrainMapping applyJT,L2 request rate,0.047744
seq-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.010866
seq-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.227589
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001285
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001742
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2995.047832
seq-perfmon,BaseStrainMapping apply,CPI,0.479123
seq-perfmon,BaseStrainMapping apply,L2 request rate,0.027347
seq-perfmon,BaseStrainMapping apply,L2 miss rate,0.006009
seq-perfmon,BaseStrainMapping apply,L2 miss ratio,0.219720
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000058
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001339
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3005.393128
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.134152
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.109646
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.009293
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.084754
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000273
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.009463
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],2997.675620
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.018845
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 request rate,0.099783
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss rate,0.004097
seq-perfmon,BaseDeformationMapping applyJT vec else,L2 miss ratio,0.041059
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000272
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.008603
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3000.647444
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.011986
seq-perfmon,BaseDeformationMapping applyJ else,L2 request rate,0.102376
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss rate,0.006729
seq-perfmon,BaseDeformationMapping applyJ else,L2 miss ratio,0.065728
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.058539
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.077664
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.401147
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.547313
seq-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.069914
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.010726
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,0.153416
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.018077
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.027102
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2993.501160
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.477147
seq-perfmon,BaseStrainMapping applyDJT,L2 request rate,0.037013
seq-perfmon,BaseStrainMapping applyDJT,L2 miss rate,0.006940
seq-perfmon,BaseStrainMapping applyDJT,L2 miss ratio,0.187507
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.015606
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.017894
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.729200
seq-perfmon,BaseDeformationMapping apply,CPI,0.587240
seq-perfmon,BaseDeformationMapping apply,L2 request rate,0.048722
seq-perfmon,BaseDeformationMapping apply,L2 miss rate,0.016497
seq-perfmon,BaseDeformationMapping apply,L2 miss ratio,0.338603
seq-perfmon,Simu,Runtime (RDTSC) [s],1.428816
seq-perfmon,Simu,Runtime unhalted [s],0.696982
seq-perfmon,Simu,Clock [MHz],2992.580390
seq-perfmon,Simu,CPI,0.761965
