Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021306
seq-perfmon,BaseStrainMapping applyJ,call count,2131.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.093262
seq-perfmon,BaseDeformationMapping applyJ,call count,4369.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013794
seq-perfmon,BaseStrainMapping applyJT,call count,2228.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001259
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000227
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2228.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000214
seq-perfmon,BaseDeformationMapping applyJ else,call count,2026.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058437
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4456.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.017884
seq-perfmon,BaseStrainMapping applyDJT,call count,2127.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015464
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.436818
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021306
seq-perfmon,BaseStrainMapping applyJ,call count,2131.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.093262
seq-perfmon,BaseDeformationMapping applyJ,call count,4369.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013794
seq-perfmon,BaseStrainMapping applyJT,call count,2228.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001259
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000227
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2228.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000214
seq-perfmon,BaseDeformationMapping applyJ else,call count,2026.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058437
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4456.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.017884
seq-perfmon,BaseStrainMapping applyDJT,call count,2127.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015464
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.436818
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021306
seq-perfmon,BaseStrainMapping applyJ,call count,2131.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.093262
seq-perfmon,BaseDeformationMapping applyJ,call count,4369.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013794
seq-perfmon,BaseStrainMapping applyJT,call count,2228.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001259
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000227
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2228.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000214
seq-perfmon,BaseDeformationMapping applyJ else,call count,2026.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058437
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4456.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.017884
seq-perfmon,BaseStrainMapping applyDJT,call count,2127.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015464
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.436818
seq-perfmon,Simu,call count,1.000000
