Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.425203
seq,Full,Througput [FPS],235.182
seq,Full,Runtime (RDTSC) [s],4.006507
seq,Full,Runtime unhalted [s],2.435465
seq,Full,Clock [MHz],2992.750569
seq,Full,CPI,0.643322
seq,Full,L2 request rate,0.026837
seq,Full,L2 miss rate,0.004996
seq,Full,L2 miss ratio,0.186146
seq,Full,Runtime (RDTSC) [s],4.006507
seq,Full,Runtime unhalted [s],2.435465
seq,Full,Clock [MHz],2992.750569
seq,Full,CPI,0.643322
seq,Full,L2 request rate,0.026837
seq,Full,L2 miss rate,0.004996
seq,Full,L2 miss ratio,0.186146
seq,Full,Runtime (RDTSC) [s],4.006507
seq,Full,Runtime unhalted [s],2.435465
seq,Full,Clock [MHz],2992.750569
seq,Full,CPI,0.643322
seq,Full,L2 request rate,0.026837
seq,Full,L2 miss rate,0.004996
seq,Full,L2 miss ratio,0.186146
