Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.422826
seq,Full,Througput [FPS],236.504
seq,Full,INSTR_RETIRED_ANY,11327777200.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7299404345.000000
seq,Full,CPU_CLK_UNHALTED_REF,7299674010.000000
seq,Full,L2_TRANS_ALL_REQUESTS,293383230.000000
seq,Full,L2_RQSTS_MISS,51672880.000000
seq,Full,INSTR_RETIRED_ANY,11327777200.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7299404345.000000
seq,Full,CPU_CLK_UNHALTED_REF,7299674010.000000
seq,Full,L2_TRANS_ALL_REQUESTS,293383230.000000
seq,Full,L2_RQSTS_MISS,51672880.000000
seq,Full,INSTR_RETIRED_ANY,11327777200.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7299404345.000000
seq,Full,CPU_CLK_UNHALTED_REF,7299674010.000000
seq,Full,L2_TRANS_ALL_REQUESTS,293383230.000000
seq,Full,L2_RQSTS_MISS,51672880.000000
