Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.021266
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.030344
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2998.702304
seq-perfmon,BaseStrainMapping applyJ,CPI,0.472426
seq-perfmon,BaseStrainMapping applyJ,L3 Load [MBytes/s],3679.755705
seq-perfmon,BaseStrainMapping applyJ,L3 Evict [MBytes/s],264.293060
seq-perfmon,BaseStrainMapping applyJ,L3 bandwidth [MBytes/s],3944.048765
seq-perfmon,BaseStrainMapping applyJ,L3 data volume [GBytes],0.083874
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.093026
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.112113
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2994.681326
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.491945
seq-perfmon,BaseDeformationMapping applyJ,L3 Load [MBytes/s],4403.596761
seq-perfmon,BaseDeformationMapping applyJ,L3 Evict [MBytes/s],481.619918
seq-perfmon,BaseDeformationMapping applyJ,L3 bandwidth [MBytes/s],4885.216679
seq-perfmon,BaseDeformationMapping applyJ,L3 data volume [GBytes],0.454452
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.013666
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.023345
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],3002.537460
seq-perfmon,BaseStrainMapping applyJT,CPI,0.574204
seq-perfmon,BaseStrainMapping applyJT,L3 Load [MBytes/s],5848.691945
seq-perfmon,BaseStrainMapping applyJT,L3 Evict [MBytes/s],648.012580
seq-perfmon,BaseStrainMapping applyJT,L3 bandwidth [MBytes/s],6496.704525
seq-perfmon,BaseStrainMapping applyJT,L3 data volume [GBytes],0.088782
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001253
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001700
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2998.458651
seq-perfmon,BaseStrainMapping apply,CPI,0.467582
seq-perfmon,BaseStrainMapping apply,L3 Load [MBytes/s],3361.539290
seq-perfmon,BaseStrainMapping apply,L3 Evict [MBytes/s],433.376295
seq-perfmon,BaseStrainMapping apply,L3 bandwidth [MBytes/s],3794.915586
seq-perfmon,BaseStrainMapping apply,L3 data volume [GBytes],0.004755
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001320
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3005.774928
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.089455
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 Load [MBytes/s],12000.229343
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 Evict [MBytes/s],1419.448615
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 bandwidth [MBytes/s],13419.677959
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 data volume [GBytes],0.000693
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000204
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.009432
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3012.212494
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.012800
seq-perfmon,BaseDeformationMapping applyJT vec else,L3 Load [MBytes/s],11710.764960
seq-perfmon,BaseDeformationMapping applyJT vec else,L3 Evict [MBytes/s],709.724282
seq-perfmon,BaseDeformationMapping applyJT vec else,L3 bandwidth [MBytes/s],12420.489242
seq-perfmon,BaseDeformationMapping applyJT vec else,L3 data volume [GBytes],0.002529
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000209
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.008686
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3007.105706
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.045643
seq-perfmon,BaseDeformationMapping applyJ else,L3 Load [MBytes/s],19620.651322
seq-perfmon,BaseDeformationMapping applyJ else,L3 Evict [MBytes/s],2310.294541
seq-perfmon,BaseDeformationMapping applyJ else,L3 bandwidth [MBytes/s],21930.945863
seq-perfmon,BaseDeformationMapping applyJ else,L3 data volume [GBytes],0.004581
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.058166
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.077390
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2998.652475
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.546119
seq-perfmon,BaseDeformationMapping applyJT vec,L3 Load [MBytes/s],4758.575941
seq-perfmon,BaseDeformationMapping applyJT vec,L3 Evict [MBytes/s],510.677317
seq-perfmon,BaseDeformationMapping applyJT vec,L3 bandwidth [MBytes/s],5269.253258
seq-perfmon,BaseDeformationMapping applyJT vec,L3 data volume [GBytes],0.306493
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.017886
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.026994
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],3000.915592
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.475458
seq-perfmon,BaseStrainMapping applyDJT,L3 Load [MBytes/s],3840.949682
seq-perfmon,BaseStrainMapping applyDJT,L3 Evict [MBytes/s],687.578583
seq-perfmon,BaseStrainMapping applyDJT,L3 bandwidth [MBytes/s],4528.528265
seq-perfmon,BaseStrainMapping applyDJT,L3 data volume [GBytes],0.080995
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.015573
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.017836
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2994.597282
seq-perfmon,BaseDeformationMapping apply,CPI,0.585337
seq-perfmon,BaseDeformationMapping apply,L3 Load [MBytes/s],6126.369310
seq-perfmon,BaseDeformationMapping apply,L3 Evict [MBytes/s],544.520224
seq-perfmon,BaseDeformationMapping apply,L3 bandwidth [MBytes/s],6670.889534
seq-perfmon,BaseDeformationMapping apply,L3 data volume [GBytes],0.103886
seq-perfmon,Simu,Runtime (RDTSC) [s],1.430233
