Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021316
seq-perfmon,BaseStrainMapping applyJ,call count,2129.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.094103
seq-perfmon,BaseDeformationMapping applyJ,call count,4365.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013695
seq-perfmon,BaseStrainMapping applyJT,call count,2226.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001251
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000224
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2226.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000217
seq-perfmon,BaseDeformationMapping applyJ else,call count,2024.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058376
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4452.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.018052
seq-perfmon,BaseStrainMapping applyDJT,call count,2125.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015608
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.432823
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021316
seq-perfmon,BaseStrainMapping applyJ,call count,2129.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.094103
seq-perfmon,BaseDeformationMapping applyJ,call count,4365.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013695
seq-perfmon,BaseStrainMapping applyJT,call count,2226.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001251
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000224
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2226.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000217
seq-perfmon,BaseDeformationMapping applyJ else,call count,2024.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058376
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4452.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.018052
seq-perfmon,BaseStrainMapping applyDJT,call count,2125.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015608
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.432823
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021316
seq-perfmon,BaseStrainMapping applyJ,call count,2129.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.094103
seq-perfmon,BaseDeformationMapping applyJ,call count,4365.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013695
seq-perfmon,BaseStrainMapping applyJT,call count,2226.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001251
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000224
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2226.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000217
seq-perfmon,BaseDeformationMapping applyJ else,call count,2024.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058376
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4452.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.018052
seq-perfmon,BaseStrainMapping applyDJT,call count,2125.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015608
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.432823
seq-perfmon,Simu,call count,1.000000
