Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.395442
openmp,Full,Througput [FPS],252.882
openmp,Full,INSTR_RETIRED_ANY,14670874741.000000,8186878021.000000,495866764.000000,3667718685.250000
openmp,Full,CPU_CLK_UNHALTED_CORE,8489726102.000000,4169825633.000000,359583924.000000,2122431525.500000
openmp,Full,CPU_CLK_UNHALTED_REF,8491151070.000000,4170073410.000000,359662530.000000,2122787767.500000
openmp,Full,CAS_COUNT_RD,2422491.000000,2422491.000000,0.000000,605622.750000
openmp,Full,CAS_COUNT_WR,1435502.000000,1435502.000000,0.000000,358875.500000
openmp,Full,CAS_COUNT_RD,2423017.000000,2423017.000000,0.000000,605754.250000
openmp,Full,CAS_COUNT_WR,1434634.000000,1434634.000000,0.000000,358658.500000
openmp,Full,CAS_COUNT_RD,2429297.000000,2429297.000000,0.000000,607324.250000
openmp,Full,CAS_COUNT_WR,1436553.000000,1436553.000000,0.000000,359138.250000
openmp,Full,CAS_COUNT_RD,2422893.000000,2422893.000000,0.000000,605723.250000
openmp,Full,CAS_COUNT_WR,1435111.000000,1435111.000000,0.000000,358777.750000
openmp,Full,INSTR_RETIRED_ANY,14670874741.000000,8186878021.000000,495866764.000000,3667718685.250000
openmp,Full,CPU_CLK_UNHALTED_CORE,8489726102.000000,4169825633.000000,359583924.000000,2122431525.500000
openmp,Full,CPU_CLK_UNHALTED_REF,8491151070.000000,4170073410.000000,359662530.000000,2122787767.500000
openmp,Full,CAS_COUNT_RD,2422491.000000,2422491.000000,0.000000,605622.750000
openmp,Full,CAS_COUNT_WR,1435502.000000,1435502.000000,0.000000,358875.500000
openmp,Full,CAS_COUNT_RD,2423017.000000,2423017.000000,0.000000,605754.250000
openmp,Full,CAS_COUNT_WR,1434634.000000,1434634.000000,0.000000,358658.500000
openmp,Full,CAS_COUNT_RD,2429297.000000,2429297.000000,0.000000,607324.250000
openmp,Full,CAS_COUNT_WR,1436553.000000,1436553.000000,0.000000,359138.250000
openmp,Full,CAS_COUNT_RD,2422893.000000,2422893.000000,0.000000,605723.250000
openmp,Full,CAS_COUNT_WR,1435111.000000,1435111.000000,0.000000,358777.750000
openmp,Full,INSTR_RETIRED_ANY,14670874741.000000,8186878021.000000,495866764.000000,3667718685.250000
openmp,Full,CPU_CLK_UNHALTED_CORE,8489726102.000000,4169825633.000000,359583924.000000,2122431525.500000
openmp,Full,CPU_CLK_UNHALTED_REF,8491151070.000000,4170073410.000000,359662530.000000,2122787767.500000
openmp,Full,CAS_COUNT_RD,2422491.000000,2422491.000000,0.000000,605622.750000
openmp,Full,CAS_COUNT_WR,1435502.000000,1435502.000000,0.000000,358875.500000
openmp,Full,CAS_COUNT_RD,2423017.000000,2423017.000000,0.000000,605754.250000
openmp,Full,CAS_COUNT_WR,1434634.000000,1434634.000000,0.000000,358658.500000
openmp,Full,CAS_COUNT_RD,2429297.000000,2429297.000000,0.000000,607324.250000
openmp,Full,CAS_COUNT_WR,1436553.000000,1436553.000000,0.000000,359138.250000
openmp,Full,CAS_COUNT_RD,2422893.000000,2422893.000000,0.000000,605723.250000
openmp,Full,CAS_COUNT_WR,1435111.000000,1435111.000000,0.000000,358777.750000
