Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.397379
openmp,Full,Througput [FPS],251.649
openmp,Full,Runtime (RDTSC) [s],10.828207,2.707052,2.707052,2.707052
openmp,Full,Runtime unhalted [s],2.837923,1.392518,0.120935,0.709481
openmp,Full,Clock [MHz],11971.014528,2992.935970,2992.558501,2992.753632
openmp,Full,CPI,2.660728,0.761047,0.439463,0.665182
openmp,Full,Memory Read BW [MBytes/s],230.787501,230.787501,0.000000,57.696875
openmp,Full,Memory Write BW [MBytes/s],137.048895,137.048895,0.000000,34.262224
openmp,Full,Memory BW [MBytes/s],367.836396,367.836396,0.000000,91.959099
openmp,Full,Memory data volume [GBytes],0.995752,0.995752,0.000000,0.248938
openmp,Full,Runtime (RDTSC) [s],10.828207,2.707052,2.707052,2.707052
openmp,Full,Runtime unhalted [s],2.837923,1.392518,0.120935,0.709481
openmp,Full,Clock [MHz],11971.014528,2992.935970,2992.558501,2992.753632
openmp,Full,CPI,2.660728,0.761047,0.439463,0.665182
openmp,Full,Memory Read BW [MBytes/s],230.787501,230.787501,0.000000,57.696875
openmp,Full,Memory Write BW [MBytes/s],137.048895,137.048895,0.000000,34.262224
openmp,Full,Memory BW [MBytes/s],367.836396,367.836396,0.000000,91.959099
openmp,Full,Memory data volume [GBytes],0.995752,0.995752,0.000000,0.248938
openmp,Full,Runtime (RDTSC) [s],10.828207,2.707052,2.707052,2.707052
openmp,Full,Runtime unhalted [s],2.837923,1.392518,0.120935,0.709481
openmp,Full,Clock [MHz],11971.014528,2992.935970,2992.558501,2992.753632
openmp,Full,CPI,2.660728,0.761047,0.439463,0.665182
openmp,Full,Memory Read BW [MBytes/s],230.787501,230.787501,0.000000,57.696875
openmp,Full,Memory Write BW [MBytes/s],137.048895,137.048895,0.000000,34.262224
openmp,Full,Memory BW [MBytes/s],367.836396,367.836396,0.000000,91.959099
openmp,Full,Memory data volume [GBytes],0.995752,0.995752,0.000000,0.248938
