Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,207895700.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,153446800.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,153140800.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,750.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,401.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,570.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,281.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,498.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,442.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,827.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,489.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,712660600.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,465120800.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,464560800.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,2155.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,1203.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,2142.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,1318.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,2570.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,1623.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,2028.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,1292.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,138533900.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,134935300.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,134621200.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,405.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,215.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,352.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,159.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,409.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,171.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,301.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,100.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,11708590.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,8278866.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,8263470.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,72.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,34.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,68.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,41.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,79.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,43.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,82.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,35.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,3673352.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,12989210.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,12963720.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,198.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,246.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,187.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,221.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,171.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,213.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,146.000000
