Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021203
seq-perfmon,BaseStrainMapping applyJ,call count,2119.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.092681
seq-perfmon,BaseDeformationMapping applyJ,call count,4345.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013584
seq-perfmon,BaseStrainMapping applyJT,call count,2216.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001259
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000051
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000196
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2216.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000207
seq-perfmon,BaseDeformationMapping applyJ else,call count,2014.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058332
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4432.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.017851
seq-perfmon,BaseStrainMapping applyDJT,call count,2115.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015493
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],3.938172
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021203
seq-perfmon,BaseStrainMapping applyJ,call count,2119.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.092681
seq-perfmon,BaseDeformationMapping applyJ,call count,4345.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013584
seq-perfmon,BaseStrainMapping applyJT,call count,2216.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001259
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000051
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000196
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2216.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000207
seq-perfmon,BaseDeformationMapping applyJ else,call count,2014.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058332
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4432.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.017851
seq-perfmon,BaseStrainMapping applyDJT,call count,2115.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015493
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],3.938172
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.021203
seq-perfmon,BaseStrainMapping applyJ,call count,2119.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.092681
seq-perfmon,BaseDeformationMapping applyJ,call count,4345.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.013584
seq-perfmon,BaseStrainMapping applyJT,call count,2216.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001259
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000051
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000196
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2216.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000207
seq-perfmon,BaseDeformationMapping applyJ else,call count,2014.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.058332
seq-perfmon,BaseDeformationMapping applyJT vec,call count,4432.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.017851
seq-perfmon,BaseStrainMapping applyDJT,call count,2115.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.015493
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],3.938172
seq-perfmon,Simu,call count,1.000000
