Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.425823
seq,Full,Througput [FPS],234.839
seq,Full,INSTR_RETIRED_ANY,11331025201.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7278610828.000000
seq,Full,CPU_CLK_UNHALTED_REF,7278651720.000000
seq,Full,CAS_COUNT_RD,3886973.000000
seq,Full,CAS_COUNT_WR,1864852.000000
seq,Full,CAS_COUNT_RD,3882982.000000
seq,Full,CAS_COUNT_WR,1863806.000000
seq,Full,CAS_COUNT_RD,3886370.000000
seq,Full,CAS_COUNT_WR,1867572.000000
seq,Full,CAS_COUNT_RD,3881305.000000
seq,Full,CAS_COUNT_WR,1865006.000000
seq,Full,INSTR_RETIRED_ANY,11331025201.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7278610828.000000
seq,Full,CPU_CLK_UNHALTED_REF,7278651720.000000
seq,Full,CAS_COUNT_RD,3886973.000000
seq,Full,CAS_COUNT_WR,1864852.000000
seq,Full,CAS_COUNT_RD,3882982.000000
seq,Full,CAS_COUNT_WR,1863806.000000
seq,Full,CAS_COUNT_RD,3886370.000000
seq,Full,CAS_COUNT_WR,1867572.000000
seq,Full,CAS_COUNT_RD,3881305.000000
seq,Full,CAS_COUNT_WR,1865006.000000
seq,Full,INSTR_RETIRED_ANY,11331025201.000000
seq,Full,CPU_CLK_UNHALTED_CORE,7278610828.000000
seq,Full,CPU_CLK_UNHALTED_REF,7278651720.000000
seq,Full,CAS_COUNT_RD,3886973.000000
seq,Full,CAS_COUNT_WR,1864852.000000
seq,Full,CAS_COUNT_RD,3882982.000000
seq,Full,CAS_COUNT_WR,1863806.000000
seq,Full,CAS_COUNT_RD,3886370.000000
seq,Full,CAS_COUNT_WR,1867572.000000
seq,Full,CAS_COUNT_RD,3881305.000000
seq,Full,CAS_COUNT_WR,1865006.000000
