Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.425762
seq,Full,Througput [FPS],234.873
seq,Full,Runtime (RDTSC) [s],3.998433
seq,Full,Runtime unhalted [s],2.433693
seq,Full,Clock [MHz],2992.713532
seq,Full,CPI,0.642317
seq,Full,Memory Read BW [MBytes/s],248.449933
seq,Full,Memory Write BW [MBytes/s],119.264127
seq,Full,Memory BW [MBytes/s],367.714060
seq,Full,Memory data volume [GBytes],1.470280
seq,Full,Runtime (RDTSC) [s],3.998433
seq,Full,Runtime unhalted [s],2.433693
seq,Full,Clock [MHz],2992.713532
seq,Full,CPI,0.642317
seq,Full,Memory Read BW [MBytes/s],248.449933
seq,Full,Memory Write BW [MBytes/s],119.264127
seq,Full,Memory BW [MBytes/s],367.714060
seq,Full,Memory data volume [GBytes],1.470280
seq,Full,Runtime (RDTSC) [s],3.998433
seq,Full,Runtime unhalted [s],2.433693
seq,Full,Clock [MHz],2992.713532
seq,Full,CPI,0.642317
seq,Full,Memory Read BW [MBytes/s],248.449933
seq,Full,Memory Write BW [MBytes/s],119.264127
seq,Full,Memory BW [MBytes/s],367.714060
seq,Full,Memory data volume [GBytes],1.470280
