Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.096711,0.024178,0.024178,0.024178
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.105728,0.026660,0.026151,0.026432
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11983.857398,2997.853905,2993.824483,2995.964349
openmp-perfmon,BaseStrainMapping applyJT,CPI,1.801713,0.452539,0.447769,0.450428
openmp-perfmon,BaseStrainMapping applyJT,Load to Store ratio,8.386979,2.104417,2.087986,2.096745
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000147,0.000037,0.000037,0.000037
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000571,0.000571,0.000000,0.000143
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3025.516384,3025.516384,0.000000,756.379096
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,6.231729,6.231729,0.000000,1.557932
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Load to Store ratio,2.172130,2.172130,0.000000,0.543033
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.425488,0.106372,0.106372,0.106372
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.405328,0.102852,0.098803,0.101332
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11976.099266,2994.527118,2993.390049,2994.024817
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,2.274330,0.575053,0.563381,0.568583
openmp-perfmon,BaseDeformationMapping applyJT vec,Load to Store ratio,17.444714,4.367795,4.355541,4.361179
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.085622,0.021405,0.021405,0.021405
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.083837,0.021024,0.020878,0.020959
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11975.849369,2994.061167,2993.756136,2993.962342
openmp-perfmon,BaseDeformationMapping apply,CPI,1.914605,0.479962,0.477210,0.478651
openmp-perfmon,BaseDeformationMapping apply,Load to Store ratio,6.623898,1.657261,1.655353,1.655975
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.572287,0.143072,0.143072,0.143072
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.581923,0.145973,0.144877,0.145481
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11974.651194,2994.179976,2993.077524,2993.662798
openmp-perfmon,BaseDeformationMapping applyJ,CPI,1.813604,0.455560,0.451764,0.453401
openmp-perfmon,BaseDeformationMapping applyJ,Load to Store ratio,5.315571,1.330128,1.327736,1.328893
openmp-perfmon,Simu,Runtime (RDTSC) [s],4.690368,1.172592,1.172592,1.172592
openmp-perfmon,Simu,Runtime unhalted [s],0.781203,0.781203,0.000000,0.195301
openmp-perfmon,Simu,Clock [MHz],2992.780445,2992.780445,0.000000,748.195111
openmp-perfmon,Simu,CPI,0.598803,0.598803,0.000000,0.149701
openmp-perfmon,Simu,Load to Store ratio,1.346615,1.346615,0.000000,0.336654
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.138185,0.034546,0.034546,0.034546
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.144425,0.036380,0.035755,0.036106
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11977.232830,2995.234544,2993.247579,2994.308208
openmp-perfmon,BaseStrainMapping applyJ,CPI,1.542499,0.386938,0.382756,0.385625
openmp-perfmon,BaseStrainMapping applyJ,Load to Store ratio,5.595060,1.401795,1.396452,1.398765
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.096711,0.024178,0.024178,0.024178
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.105728,0.026660,0.026151,0.026432
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11983.857398,2997.853905,2993.824483,2995.964349
openmp-perfmon,BaseStrainMapping applyJT,CPI,1.801713,0.452539,0.447769,0.450428
openmp-perfmon,BaseStrainMapping applyJT,Load to Store ratio,8.386979,2.104417,2.087986,2.096745
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000147,0.000037,0.000037,0.000037
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000571,0.000571,0.000000,0.000143
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3025.516384,3025.516384,0.000000,756.379096
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,6.231729,6.231729,0.000000,1.557932
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Load to Store ratio,2.172130,2.172130,0.000000,0.543033
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.425488,0.106372,0.106372,0.106372
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.405328,0.102852,0.098803,0.101332
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11976.099266,2994.527118,2993.390049,2994.024817
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,2.274330,0.575053,0.563381,0.568583
openmp-perfmon,BaseDeformationMapping applyJT vec,Load to Store ratio,17.444714,4.367795,4.355541,4.361179
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.085622,0.021405,0.021405,0.021405
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.083837,0.021024,0.020878,0.020959
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11975.849369,2994.061167,2993.756136,2993.962342
openmp-perfmon,BaseDeformationMapping apply,CPI,1.914605,0.479962,0.477210,0.478651
openmp-perfmon,BaseDeformationMapping apply,Load to Store ratio,6.623898,1.657261,1.655353,1.655975
