Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.705246
openmp,Full,Througput [FPS],141.794
openmp,Full,Runtime (RDTSC) [s],11.243720,2.810930,2.810930,2.810930
openmp,Full,Runtime unhalted [s],3.573484,1.524718,0.317101,0.893371
openmp,Full,Clock [MHz],11970.935052,2992.802076,2992.593896,2992.733763
openmp,Full,CPI,1.987843,0.642208,0.430766,0.496961
openmp,Full,Load to Store ratio,7.193367,1.969356,1.556904,1.798342
openmp,Full,Runtime (RDTSC) [s],11.243720,2.810930,2.810930,2.810930
openmp,Full,Runtime unhalted [s],3.573484,1.524718,0.317101,0.893371
openmp,Full,Clock [MHz],11970.935052,2992.802076,2992.593896,2992.733763
openmp,Full,CPI,1.987843,0.642208,0.430766,0.496961
openmp,Full,Load to Store ratio,7.193367,1.969356,1.556904,1.798342
openmp,Full,Runtime (RDTSC) [s],11.243720,2.810930,2.810930,2.810930
openmp,Full,Runtime unhalted [s],3.573484,1.524718,0.317101,0.893371
openmp,Full,Clock [MHz],11970.935052,2992.802076,2992.593896,2992.733763
openmp,Full,CPI,1.987843,0.642208,0.430766,0.496961
openmp,Full,Load to Store ratio,7.193367,1.969356,1.556904,1.798342
