Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.711268
openmp,Full,Througput [FPS],140.594
openmp,Full,INSTR_RETIRED_ANY,21138146947.000000,9812522947.000000,2072969125.000000,5284536736.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,10731923937.000000,4581119820.000000,941667069.000000,2682980984.250000
openmp,Full,CPU_CLK_UNHALTED_REF,10732495020.000000,4581275010.000000,941681010.000000,2683123755.000000
openmp,Full,MEM_UOP_RETIRED_LOADS,4674050837.000000,1881722068.000000,582576252.000000,1168512709.250000
openmp,Full,MEM_UOP_RETIRED_STORES,2671675472.000000,1209191184.000000,319620490.000000,667918868.000000
openmp,Full,INSTR_RETIRED_ANY,21138146947.000000,9812522947.000000,2072969125.000000,5284536736.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,10731923937.000000,4581119820.000000,941667069.000000,2682980984.250000
openmp,Full,CPU_CLK_UNHALTED_REF,10732495020.000000,4581275010.000000,941681010.000000,2683123755.000000
openmp,Full,MEM_UOP_RETIRED_LOADS,4674050837.000000,1881722068.000000,582576252.000000,1168512709.250000
openmp,Full,MEM_UOP_RETIRED_STORES,2671675472.000000,1209191184.000000,319620490.000000,667918868.000000
openmp,Full,INSTR_RETIRED_ANY,21138146947.000000,9812522947.000000,2072969125.000000,5284536736.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,10731923937.000000,4581119820.000000,941667069.000000,2682980984.250000
openmp,Full,CPU_CLK_UNHALTED_REF,10732495020.000000,4581275010.000000,941681010.000000,2683123755.000000
openmp,Full,MEM_UOP_RETIRED_LOADS,4674050837.000000,1881722068.000000,582576252.000000,1168512709.250000
openmp,Full,MEM_UOP_RETIRED_STORES,2671675472.000000,1209191184.000000,319620490.000000,667918868.000000
