Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.081574
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.088155
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2993.156188
seq-perfmon,BaseStrainMapping applyJT,CPI,0.380700
seq-perfmon,BaseStrainMapping applyJT,Load to Store ratio,2.110875
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000043
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000901
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3002.704173
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.163035
seq-perfmon,BaseDeformationMapping applyJT seqMat,Load to Store ratio,2.197962
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.359329
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.371732
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.425717
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.540619
seq-perfmon,BaseDeformationMapping applyJT vec,Load to Store ratio,4.356235
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.076430
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.078427
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2992.922625
seq-perfmon,BaseDeformationMapping apply,CPI,0.447866
seq-perfmon,BaseDeformationMapping apply,Load to Store ratio,1.644930
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.524388
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.535628
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.118954
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.425764
seq-perfmon,BaseDeformationMapping applyJ,Load to Store ratio,1.297982
seq-perfmon,Simu,Runtime (RDTSC) [s],2.026669
seq-perfmon,Simu,Runtime unhalted [s],1.702241
seq-perfmon,Simu,Clock [MHz],2992.703242
seq-perfmon,Simu,CPI,0.495203
seq-perfmon,Simu,Load to Store ratio,1.604674
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.122426
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.128292
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2993.414224
seq-perfmon,BaseStrainMapping applyJ,CPI,0.349987
seq-perfmon,BaseStrainMapping applyJ,Load to Store ratio,1.397985
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.081574
