Config,Expe,Event,core 0
seq,Full,Simulation time [s],1.53483
seq,Full,Througput [FPS],65.1539
seq,Full,INSTR_RETIRED_ANY,17491434878.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9833950506.000000
seq,Full,CPU_CLK_UNHALTED_REF,9834036360.000000
seq,Full,MEM_UOP_RETIRED_LOADS,4422433665.000000
seq,Full,MEM_UOP_RETIRED_STORES,2346422921.000000
seq,Full,INSTR_RETIRED_ANY,17491434878.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9833950506.000000
seq,Full,CPU_CLK_UNHALTED_REF,9834036360.000000
seq,Full,MEM_UOP_RETIRED_LOADS,4422433665.000000
seq,Full,MEM_UOP_RETIRED_STORES,2346422921.000000
seq,Full,INSTR_RETIRED_ANY,17491434878.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9833950506.000000
seq,Full,CPU_CLK_UNHALTED_REF,9834036360.000000
seq,Full,MEM_UOP_RETIRED_LOADS,4422433665.000000
seq,Full,MEM_UOP_RETIRED_STORES,2346422921.000000
