Config,Expe,Metric,core 0
seq,Full,Simulation time [s],1.52972
seq,Full,Througput [FPS],65.3714
seq,Full,Runtime (RDTSC) [s],4.835799
seq,Full,Runtime unhalted [s],3.269548
seq,Full,Clock [MHz],2992.788621
seq,Full,CPI,0.559644
seq,Full,Load to Store ratio,1.884590
seq,Full,Runtime (RDTSC) [s],4.835799
seq,Full,Runtime unhalted [s],3.269548
seq,Full,Clock [MHz],2992.788621
seq,Full,CPI,0.559644
seq,Full,Load to Store ratio,1.884590
seq,Full,Runtime (RDTSC) [s],4.835799
seq,Full,Runtime unhalted [s],3.269548
seq,Full,Clock [MHz],2992.788621
seq,Full,CPI,0.559644
seq,Full,Load to Store ratio,1.884590
