Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.70815
openmp,Full,Througput [FPS],141.213
openmp,Full,INSTR_RETIRED_ANY,21137308421.000000,9815319872.000000,2080414006.000000,5284327105.250000
openmp,Full,CPU_CLK_UNHALTED_CORE,10723088975.000000,4582791767.000000,951881675.000000,2680772243.750000
openmp,Full,CPU_CLK_UNHALTED_REF,10723548750.000000,4582815240.000000,951882900.000000,2680887187.500000
openmp,Full,L1D_REPLACEMENT,302420323.000000,190612619.000000,34372551.000000,75605080.750000
openmp,Full,L1D_M_EVICT,28547535.000000,15663642.000000,2793274.000000,7136883.750000
openmp,Full,INSTR_RETIRED_ANY,21137308421.000000,9815319872.000000,2080414006.000000,5284327105.250000
openmp,Full,CPU_CLK_UNHALTED_CORE,10723088975.000000,4582791767.000000,951881675.000000,2680772243.750000
openmp,Full,CPU_CLK_UNHALTED_REF,10723548750.000000,4582815240.000000,951882900.000000,2680887187.500000
openmp,Full,L1D_REPLACEMENT,302420323.000000,190612619.000000,34372551.000000,75605080.750000
openmp,Full,L1D_M_EVICT,28547535.000000,15663642.000000,2793274.000000,7136883.750000
openmp,Full,INSTR_RETIRED_ANY,21137308421.000000,9815319872.000000,2080414006.000000,5284327105.250000
openmp,Full,CPU_CLK_UNHALTED_CORE,10723088975.000000,4582791767.000000,951881675.000000,2680772243.750000
openmp,Full,CPU_CLK_UNHALTED_REF,10723548750.000000,4582815240.000000,951882900.000000,2680887187.500000
openmp,Full,L1D_REPLACEMENT,302420323.000000,190612619.000000,34372551.000000,75605080.750000
openmp,Full,L1D_M_EVICT,28547535.000000,15663642.000000,2793274.000000,7136883.750000
