Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.079698
seq-perfmon,BaseStrainMapping applyJT,call count,1310.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000036
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.352996
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2620.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.075883
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.514899
seq-perfmon,BaseDeformationMapping applyJ,call count,2426.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.989596
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.120472
seq-perfmon,BaseStrainMapping applyJ,call count,1213.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.079698
seq-perfmon,BaseStrainMapping applyJT,call count,1310.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000036
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.352996
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2620.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.075883
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.514899
seq-perfmon,BaseDeformationMapping applyJ,call count,2426.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.989596
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.120472
seq-perfmon,BaseStrainMapping applyJ,call count,1213.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.079698
seq-perfmon,BaseStrainMapping applyJT,call count,1310.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000036
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.352996
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2620.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.075883
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.514899
seq-perfmon,BaseDeformationMapping applyJ,call count,2426.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.989596
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.120472
seq-perfmon,BaseStrainMapping applyJ,call count,1213.000000
