Config,Expe,Event,core 0
seq,Full,Simulation time [s],1.53731
seq,Full,Througput [FPS],65.0488
seq,Full,INSTR_RETIRED_ANY,17513104287.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9833607490.000000
seq,Full,CPU_CLK_UNHALTED_REF,9833641260.000000
seq,Full,L1D_REPLACEMENT,288437223.000000
seq,Full,L1D_M_EVICT,21918335.000000
seq,Full,INSTR_RETIRED_ANY,17513104287.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9833607490.000000
seq,Full,CPU_CLK_UNHALTED_REF,9833641260.000000
seq,Full,L1D_REPLACEMENT,288437223.000000
seq,Full,L1D_M_EVICT,21918335.000000
seq,Full,INSTR_RETIRED_ANY,17513104287.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9833607490.000000
seq,Full,CPU_CLK_UNHALTED_REF,9833641260.000000
seq,Full,L1D_REPLACEMENT,288437223.000000
seq,Full,L1D_M_EVICT,21918335.000000
