Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.709327
openmp,Full,Througput [FPS],140.979
openmp,Full,INSTR_RETIRED_ANY,21124941306.000000,9806428049.000000,2082631114.000000,5281235326.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,10732121733.000000,4581094198.000000,958552729.000000,2683030433.250000
openmp,Full,CPU_CLK_UNHALTED_REF,10732595490.000000,4581094710.000000,958564950.000000,2683148872.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,848400758.000000,415668039.000000,127049421.000000,212100189.500000
openmp,Full,L2_RQSTS_MISS,232462115.000000,99409506.000000,40599112.000000,58115528.750000
openmp,Full,INSTR_RETIRED_ANY,21124941306.000000,9806428049.000000,2082631114.000000,5281235326.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,10732121733.000000,4581094198.000000,958552729.000000,2683030433.250000
openmp,Full,CPU_CLK_UNHALTED_REF,10732595490.000000,4581094710.000000,958564950.000000,2683148872.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,848400758.000000,415668039.000000,127049421.000000,212100189.500000
openmp,Full,L2_RQSTS_MISS,232462115.000000,99409506.000000,40599112.000000,58115528.750000
openmp,Full,INSTR_RETIRED_ANY,21124941306.000000,9806428049.000000,2082631114.000000,5281235326.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,10732121733.000000,4581094198.000000,958552729.000000,2683030433.250000
openmp,Full,CPU_CLK_UNHALTED_REF,10732595490.000000,4581094710.000000,958564950.000000,2683148872.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,848400758.000000,415668039.000000,127049421.000000,212100189.500000
openmp,Full,L2_RQSTS_MISS,232462115.000000,99409506.000000,40599112.000000,58115528.750000
