Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.707585
openmp,Full,Througput [FPS],141.326
openmp,Full,Runtime (RDTSC) [s],11.274492,2.818623,2.818623,2.818623
openmp,Full,Runtime unhalted [s],3.579250,1.531637,0.316247,0.894813
openmp,Full,Clock [MHz],11970.950371,2992.839866,2992.652013,2992.737593
openmp,Full,CPI,1.992635,0.646118,0.431028,0.498159
openmp,Full,L2 request rate,0.199896,0.062334,0.017650,0.049974
openmp,Full,L2 miss rate,0.059199,0.019898,0.005122,0.014800
openmp,Full,L2 miss ratio,1.178790,0.321472,0.247922,0.294698
openmp,Full,Runtime (RDTSC) [s],11.274492,2.818623,2.818623,2.818623
openmp,Full,Runtime unhalted [s],3.579250,1.531637,0.316247,0.894813
openmp,Full,Clock [MHz],11970.950371,2992.839866,2992.652013,2992.737593
openmp,Full,CPI,1.992635,0.646118,0.431028,0.498159
openmp,Full,L2 request rate,0.199896,0.062334,0.017650,0.049974
openmp,Full,L2 miss rate,0.059199,0.019898,0.005122,0.014800
openmp,Full,L2 miss ratio,1.178790,0.321472,0.247922,0.294698
openmp,Full,Runtime (RDTSC) [s],11.274492,2.818623,2.818623,2.818623
openmp,Full,Runtime unhalted [s],3.579250,1.531637,0.316247,0.894813
openmp,Full,Clock [MHz],11970.950371,2992.839866,2992.652013,2992.737593
openmp,Full,CPI,1.992635,0.646118,0.431028,0.498159
openmp,Full,L2 request rate,0.199896,0.062334,0.017650,0.049974
openmp,Full,L2 miss rate,0.059199,0.019898,0.005122,0.014800
openmp,Full,L2 miss ratio,1.178790,0.321472,0.247922,0.294698
