Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.080607
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.086996
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2992.887375
seq-perfmon,BaseStrainMapping applyJT,CPI,0.377969
seq-perfmon,BaseStrainMapping applyJT,L2 request rate,0.051174
seq-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.014604
seq-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.285375
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000037
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000887
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3012.275168
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.114298
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.114388
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.011215
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.098044
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.357859
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.370444
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.303109
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.542001
seq-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.121901
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.035243
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,0.289110
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.076130
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.078079
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.041899
seq-perfmon,BaseDeformationMapping apply,CPI,0.445880
seq-perfmon,BaseDeformationMapping apply,L2 request rate,0.042708
seq-perfmon,BaseDeformationMapping apply,L2 miss rate,0.014813
seq-perfmon,BaseDeformationMapping apply,L2 miss ratio,0.346850
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.521247
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.532008
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.031218
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.425644
seq-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.051117
seq-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.018177
seq-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.355584
seq-perfmon,Simu,Runtime (RDTSC) [s],2.009117
seq-perfmon,Simu,Runtime unhalted [s],1.689603
seq-perfmon,Simu,Clock [MHz],2992.760382
seq-perfmon,Simu,CPI,0.494347
seq-perfmon,Simu,L2 request rate,0.064022
seq-perfmon,Simu,L2 miss rate,0.020248
seq-perfmon,Simu,L2 miss ratio,0.316268
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.122071
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.127933
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2993.773140
seq-perfmon,BaseStrainMapping applyJ,CPI,0.351284
seq-perfmon,BaseStrainMapping applyJ,L2 request rate,0.030369
seq-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.008541
seq-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.281237
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.080607
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.086996
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2992.887375
seq-perfmon,BaseStrainMapping applyJT,CPI,0.377969
seq-perfmon,BaseStrainMapping applyJT,L2 request rate,0.051174
seq-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.014604
seq-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.285375
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000037
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000887
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3012.275168
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.114298
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.114388
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.011215
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.098044
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.357859
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.370444
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.303109
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.542001
seq-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.121901
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.035243
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,0.289110
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.076130
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.078079
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.041899
seq-perfmon,BaseDeformationMapping apply,CPI,0.445880
seq-perfmon,BaseDeformationMapping apply,L2 request rate,0.042708
seq-perfmon,BaseDeformationMapping apply,L2 miss rate,0.014813
seq-perfmon,BaseDeformationMapping apply,L2 miss ratio,0.346850
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.521247
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.532008
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.031218
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.425644
seq-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.051117
seq-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.018177
seq-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.355584
seq-perfmon,Simu,Runtime (RDTSC) [s],2.009117
seq-perfmon,Simu,Runtime unhalted [s],1.689603
seq-perfmon,Simu,Clock [MHz],2992.760382
seq-perfmon,Simu,CPI,0.494347
seq-perfmon,Simu,L2 request rate,0.064022
seq-perfmon,Simu,L2 miss rate,0.020248
seq-perfmon,Simu,L2 miss ratio,0.316268
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.122071
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.127933
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2993.773140
seq-perfmon,BaseStrainMapping applyJ,CPI,0.351284
seq-perfmon,BaseStrainMapping applyJ,L2 request rate,0.030369
seq-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.008541
seq-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.281237
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.080607
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.086996
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2992.887375
seq-perfmon,BaseStrainMapping applyJT,CPI,0.377969
seq-perfmon,BaseStrainMapping applyJT,L2 request rate,0.051174
seq-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.014604
seq-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.285375
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000037
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000887
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3012.275168
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.114298
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 request rate,0.114388
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss rate,0.011215
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2 miss ratio,0.098044
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.357859
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.370444
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.303109
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.542001
seq-perfmon,BaseDeformationMapping applyJT vec,L2 request rate,0.121901
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss rate,0.035243
seq-perfmon,BaseDeformationMapping applyJT vec,L2 miss ratio,0.289110
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.076130
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.078079
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.041899
seq-perfmon,BaseDeformationMapping apply,CPI,0.445880
seq-perfmon,BaseDeformationMapping apply,L2 request rate,0.042708
seq-perfmon,BaseDeformationMapping apply,L2 miss rate,0.014813
seq-perfmon,BaseDeformationMapping apply,L2 miss ratio,0.346850
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.521247
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.532008
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.031218
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.425644
seq-perfmon,BaseDeformationMapping applyJ,L2 request rate,0.051117
seq-perfmon,BaseDeformationMapping applyJ,L2 miss rate,0.018177
seq-perfmon,BaseDeformationMapping applyJ,L2 miss ratio,0.355584
seq-perfmon,Simu,Runtime (RDTSC) [s],2.009117
seq-perfmon,Simu,Runtime unhalted [s],1.689603
seq-perfmon,Simu,Clock [MHz],2992.760382
seq-perfmon,Simu,CPI,0.494347
seq-perfmon,Simu,L2 request rate,0.064022
seq-perfmon,Simu,L2 miss rate,0.020248
seq-perfmon,Simu,L2 miss ratio,0.316268
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.122071
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.127933
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2993.773140
seq-perfmon,BaseStrainMapping applyJ,CPI,0.351284
seq-perfmon,BaseStrainMapping applyJ,L2 request rate,0.030369
seq-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.008541
seq-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.281237
