Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,685201000.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,258904300.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,258820700.000000
seq-perfmon,BaseStrainMapping applyJT,L2_TRANS_ALL_REQUESTS,34974350.000000
seq-perfmon,BaseStrainMapping applyJT,L2_RQSTS_MISS,9999686.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,852247.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,2689489.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,2683110.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_TRANS_ALL_REQUESTS,109175.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_RQSTS_MISS,11988.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,2034673000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,1098714000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,1098442000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_TRANS_ALL_REQUESTS,247169500.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_RQSTS_MISS,71699860.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,524072300.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,231977400.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,231945100.000000
seq-perfmon,BaseDeformationMapping apply,L2_TRANS_ALL_REQUESTS,22332330.000000
seq-perfmon,BaseDeformationMapping apply,L2_RQSTS_MISS,7757038.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,3719306000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,1579299000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,1579168000.000000
seq-perfmon,BaseDeformationMapping applyJ,L2_TRANS_ALL_REQUESTS,190123700.000000
seq-perfmon,BaseDeformationMapping applyJ,L2_RQSTS_MISS,67702260.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,10177680000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,5022875000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,5022819000.000000
seq-perfmon,Simu,L2_TRANS_ALL_REQUESTS,650384000.000000
seq-perfmon,Simu,L2_RQSTS_MISS,206234500.000000
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,1083714000.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,383664500.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,383603600.000000
seq-perfmon,BaseStrainMapping applyJ,L2_TRANS_ALL_REQUESTS,32790640.000000
seq-perfmon,BaseStrainMapping applyJ,L2_RQSTS_MISS,9250218.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,685201000.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,258904300.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,258820700.000000
seq-perfmon,BaseStrainMapping applyJT,L2_TRANS_ALL_REQUESTS,34974350.000000
seq-perfmon,BaseStrainMapping applyJT,L2_RQSTS_MISS,9999686.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,852247.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,2689489.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,2683110.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_TRANS_ALL_REQUESTS,109175.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L2_RQSTS_MISS,11988.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,2034673000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,1098714000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,1098442000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L2_TRANS_ALL_REQUESTS,247169500.000000
