Config,Expe,Event,core 0
seq,Full,Simulation time [s],1.52582
seq,Full,Througput [FPS],65.5384
seq,Full,INSTR_RETIRED_ANY,17454334067.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9795073234.000000
seq,Full,CPU_CLK_UNHALTED_REF,9795252330.000000
seq,Full,L2_TRANS_ALL_REQUESTS,790089839.000000
seq,Full,L2_RQSTS_MISS,222775806.000000
seq,Full,INSTR_RETIRED_ANY,17454334067.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9795073234.000000
seq,Full,CPU_CLK_UNHALTED_REF,9795252330.000000
seq,Full,L2_TRANS_ALL_REQUESTS,790089839.000000
seq,Full,L2_RQSTS_MISS,222775806.000000
seq,Full,INSTR_RETIRED_ANY,17454334067.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9795073234.000000
seq,Full,CPU_CLK_UNHALTED_REF,9795252330.000000
seq,Full,L2_TRANS_ALL_REQUESTS,790089839.000000
seq,Full,L2_RQSTS_MISS,222775806.000000
