Config,Expe,Metric,core 0
seq,Full,Simulation time [s],1.52316
seq,Full,Througput [FPS],65.653
seq,Full,Runtime (RDTSC) [s],4.836871
seq,Full,Runtime unhalted [s],3.268263
seq,Full,Clock [MHz],2992.764477
seq,Full,CPI,0.561058
seq,Full,L2 request rate,0.045260
seq,Full,L2 miss rate,0.012754
seq,Full,L2 miss ratio,0.281786
seq,Full,Runtime (RDTSC) [s],4.836871
seq,Full,Runtime unhalted [s],3.268263
seq,Full,Clock [MHz],2992.764477
seq,Full,CPI,0.561058
seq,Full,L2 request rate,0.045260
seq,Full,L2 miss rate,0.012754
seq,Full,L2 miss ratio,0.281786
seq,Full,Runtime (RDTSC) [s],4.836871
seq,Full,Runtime unhalted [s],3.268263
seq,Full,Clock [MHz],2992.764477
seq,Full,CPI,0.561058
seq,Full,L2 request rate,0.045260
seq,Full,L2 miss rate,0.012754
seq,Full,L2 miss ratio,0.281786
