Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.708297
openmp,Full,Througput [FPS],141.184
openmp,Full,Runtime (RDTSC) [s],11.268092,2.817023,2.817023,2.817023
openmp,Full,Runtime unhalted [s],3.584672,1.529949,0.317532,0.896168
openmp,Full,Clock [MHz],11970.881383,2992.824729,2992.564172,2992.720346
openmp,Full,CPI,1.985655,0.642011,0.431088,0.496414
openmp,Full,L3 Load [MBytes/s],4976.101014,2114.619783,881.501244,1244.025254
openmp,Full,L3 Evict [MBytes/s],409.889423,238.993570,40.991519,102.472356
openmp,Full,L3 bandwidth [MBytes/s],5385.990438,2353.613354,925.729064,1346.497609
openmp,Full,L3 data volume [GBytes],15.172459,6.630183,2.607800,3.793115
openmp,Full,Runtime (RDTSC) [s],11.268092,2.817023,2.817023,2.817023
openmp,Full,Runtime unhalted [s],3.584672,1.529949,0.317532,0.896168
openmp,Full,Clock [MHz],11970.881383,2992.824729,2992.564172,2992.720346
openmp,Full,CPI,1.985655,0.642011,0.431088,0.496414
openmp,Full,L3 Load [MBytes/s],4976.101014,2114.619783,881.501244,1244.025254
openmp,Full,L3 Evict [MBytes/s],409.889423,238.993570,40.991519,102.472356
openmp,Full,L3 bandwidth [MBytes/s],5385.990438,2353.613354,925.729064,1346.497609
openmp,Full,L3 data volume [GBytes],15.172459,6.630183,2.607800,3.793115
openmp,Full,Runtime (RDTSC) [s],11.268092,2.817023,2.817023,2.817023
openmp,Full,Runtime unhalted [s],3.584672,1.529949,0.317532,0.896168
openmp,Full,Clock [MHz],11970.881383,2992.824729,2992.564172,2992.720346
openmp,Full,CPI,1.985655,0.642011,0.431088,0.496414
openmp,Full,L3 Load [MBytes/s],4976.101014,2114.619783,881.501244,1244.025254
openmp,Full,L3 Evict [MBytes/s],409.889423,238.993570,40.991519,102.472356
openmp,Full,L3 bandwidth [MBytes/s],5385.990438,2353.613354,925.729064,1346.497609
openmp,Full,L3 data volume [GBytes],15.172459,6.630183,2.607800,3.793115
