Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.080090
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.086535
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2993.819469
seq-perfmon,BaseStrainMapping applyJT,CPI,0.377386
seq-perfmon,BaseStrainMapping applyJT,L3 Load [MBytes/s],7926.531870
seq-perfmon,BaseStrainMapping applyJT,L3 Evict [MBytes/s],1707.703207
seq-perfmon,BaseStrainMapping applyJT,L3 bandwidth [MBytes/s],9634.235077
seq-perfmon,BaseStrainMapping applyJT,L3 data volume [GBytes],0.771606
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000034
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000904
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3025.765705
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.173690
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 Load [MBytes/s],14619.085391
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 Evict [MBytes/s],2794.491491
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 bandwidth [MBytes/s],17413.576882
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 data volume [GBytes],0.000589
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.356040
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.368119
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.221688
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.540637
seq-perfmon,BaseDeformationMapping applyJT vec,L3 Load [MBytes/s],11975.778234
seq-perfmon,BaseDeformationMapping applyJT vec,L3 Evict [MBytes/s],307.047841
seq-perfmon,BaseDeformationMapping applyJT vec,L3 bandwidth [MBytes/s],12282.826075
seq-perfmon,BaseDeformationMapping applyJT vec,L3 data volume [GBytes],4.373179
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.075720
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.077659
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.027530
seq-perfmon,BaseDeformationMapping apply,CPI,0.443471
seq-perfmon,BaseDeformationMapping apply,L3 Load [MBytes/s],6529.625237
seq-perfmon,BaseDeformationMapping apply,L3 Evict [MBytes/s],378.227648
seq-perfmon,BaseDeformationMapping apply,L3 bandwidth [MBytes/s],6907.852885
seq-perfmon,BaseDeformationMapping apply,L3 data volume [GBytes],0.523063
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.518837
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.529990
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.213774
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.425761
seq-perfmon,BaseDeformationMapping applyJ,L3 Load [MBytes/s],8127.015200
seq-perfmon,BaseDeformationMapping applyJ,L3 Evict [MBytes/s],692.268428
seq-perfmon,BaseDeformationMapping applyJ,L3 bandwidth [MBytes/s],8819.283628
seq-perfmon,BaseDeformationMapping applyJ,L3 data volume [GBytes],4.575769
seq-perfmon,Simu,Runtime (RDTSC) [s],1.998041
seq-perfmon,Simu,Runtime unhalted [s],1.684867
seq-perfmon,Simu,Clock [MHz],2992.766588
seq-perfmon,Simu,CPI,0.494718
seq-perfmon,Simu,L3 Load [MBytes/s],6189.553868
seq-perfmon,Simu,L3 Evict [MBytes/s],570.623566
seq-perfmon,Simu,L3 bandwidth [MBytes/s],6760.177434
seq-perfmon,Simu,L3 data volume [GBytes],13.507112
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.121249
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.126876
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2993.105503
seq-perfmon,BaseStrainMapping applyJ,CPI,0.349805
seq-perfmon,BaseStrainMapping applyJ,L3 Load [MBytes/s],4866.234553
seq-perfmon,BaseStrainMapping applyJ,L3 Evict [MBytes/s],1760.910390
seq-perfmon,BaseStrainMapping applyJ,L3 bandwidth [MBytes/s],6627.144944
seq-perfmon,BaseStrainMapping applyJ,L3 data volume [GBytes],0.803535
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.080090
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.086535
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2993.819469
seq-perfmon,BaseStrainMapping applyJT,CPI,0.377386
seq-perfmon,BaseStrainMapping applyJT,L3 Load [MBytes/s],7926.531870
seq-perfmon,BaseStrainMapping applyJT,L3 Evict [MBytes/s],1707.703207
seq-perfmon,BaseStrainMapping applyJT,L3 bandwidth [MBytes/s],9634.235077
seq-perfmon,BaseStrainMapping applyJT,L3 data volume [GBytes],0.771606
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000034
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000904
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3025.765705
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.173690
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 Load [MBytes/s],14619.085391
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 Evict [MBytes/s],2794.491491
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 bandwidth [MBytes/s],17413.576882
seq-perfmon,BaseDeformationMapping applyJT seqMat,L3 data volume [GBytes],0.000589
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.356040
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.368119
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.221688
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.540637
seq-perfmon,BaseDeformationMapping applyJT vec,L3 Load [MBytes/s],11975.778234
seq-perfmon,BaseDeformationMapping applyJT vec,L3 Evict [MBytes/s],307.047841
seq-perfmon,BaseDeformationMapping applyJT vec,L3 bandwidth [MBytes/s],12282.826075
seq-perfmon,BaseDeformationMapping applyJT vec,L3 data volume [GBytes],4.373179
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.075720
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.077659
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.027530
seq-perfmon,BaseDeformationMapping apply,CPI,0.443471
seq-perfmon,BaseDeformationMapping apply,L3 Load [MBytes/s],6529.625237
seq-perfmon,BaseDeformationMapping apply,L3 Evict [MBytes/s],378.227648
seq-perfmon,BaseDeformationMapping apply,L3 bandwidth [MBytes/s],6907.852885
seq-perfmon,BaseDeformationMapping apply,L3 data volume [GBytes],0.523063
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.518837
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.529990
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.213774
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.425761
seq-perfmon,BaseDeformationMapping applyJ,L3 Load [MBytes/s],8127.015200
seq-perfmon,BaseDeformationMapping applyJ,L3 Evict [MBytes/s],692.268428
seq-perfmon,BaseDeformationMapping applyJ,L3 bandwidth [MBytes/s],8819.283628
seq-perfmon,BaseDeformationMapping applyJ,L3 data volume [GBytes],4.575769
seq-perfmon,Simu,Runtime (RDTSC) [s],1.998041
seq-perfmon,Simu,Runtime unhalted [s],1.684867
seq-perfmon,Simu,Clock [MHz],2992.766588
seq-perfmon,Simu,CPI,0.494718
seq-perfmon,Simu,L3 Load [MBytes/s],6189.553868
seq-perfmon,Simu,L3 Evict [MBytes/s],570.623566
seq-perfmon,Simu,L3 bandwidth [MBytes/s],6760.177434
seq-perfmon,Simu,L3 data volume [GBytes],13.507112
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.121249
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.126876
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2993.105503
seq-perfmon,BaseStrainMapping applyJ,CPI,0.349805
seq-perfmon,BaseStrainMapping applyJ,L3 Load [MBytes/s],4866.234553
