Config,Expe,Metric,core 0
seq,Full,Simulation time [s],1.52751
seq,Full,Througput [FPS],65.466
seq,Full,Runtime (RDTSC) [s],4.831122
seq,Full,Runtime unhalted [s],3.266005
seq,Full,Clock [MHz],2992.772228
seq,Full,CPI,0.559737
seq,Full,L3 Load [MBytes/s],2755.953172
seq,Full,L3 Evict [MBytes/s],247.153662
seq,Full,L3 bandwidth [MBytes/s],3003.106833
seq,Full,L3 data volume [GBytes],14.508375
seq,Full,Runtime (RDTSC) [s],4.831122
seq,Full,Runtime unhalted [s],3.266005
seq,Full,Clock [MHz],2992.772228
seq,Full,CPI,0.559737
seq,Full,L3 Load [MBytes/s],2755.953172
seq,Full,L3 Evict [MBytes/s],247.153662
seq,Full,L3 bandwidth [MBytes/s],3003.106833
seq,Full,L3 data volume [GBytes],14.508375
seq,Full,Runtime (RDTSC) [s],4.831122
seq,Full,Runtime unhalted [s],3.266005
seq,Full,Clock [MHz],2992.772228
seq,Full,CPI,0.559737
seq,Full,L3 Load [MBytes/s],2755.953172
seq,Full,L3 Evict [MBytes/s],247.153662
seq,Full,L3 bandwidth [MBytes/s],3003.106833
seq,Full,L3 data volume [GBytes],14.508375
