Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.464000,0.116000,0.116000,0.116000
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.111180,0.033655,0.025545,0.027795
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11978.015502,2995.712399,2993.131574,2994.503875
openmp-perfmon,BaseStrainMapping applyJT,CPI,1.863431,0.552858,0.432892,0.465858
openmp-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],3.648555,3.648555,0.000000,0.912139
openmp-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],1.234760,1.234760,0.000000,0.308690
openmp-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],4.883315,4.883315,0.000000,1.220829
openmp-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000566,0.000566,0.000000,0.000142
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000152,0.000038,0.000038,0.000038
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000378,0.000378,0.000000,0.000095
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3028.017758,3028.017758,0.000000,757.004440
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,6.023192,6.023192,0.000000,1.505798
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],1.156056,0.289014,0.289014,0.289014
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.419739,0.119151,0.098095,0.104935
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11975.665700,2994.480500,2993.076686,2993.916425
