Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.698875
openmp,Full,Througput [FPS],143.087
openmp,Full,Runtime (RDTSC) [s],11.226614,2.806653,2.806653,2.806653
openmp,Full,Runtime unhalted [s],3.563940,1.520983,0.313142,0.890985
openmp,Full,Clock [MHz],11970.450482,2992.797763,2992.164479,2992.612620
openmp,Full,CPI,1.986138,0.642554,0.431070,0.496535
openmp,Full,Memory Read BW [MBytes/s],227.943200,227.943200,0.000000,56.985800
openmp,Full,Memory Write BW [MBytes/s],135.740033,135.740033,0.000000,33.935008
openmp,Full,Memory BW [MBytes/s],363.683233,363.683233,0.000000,90.920808
openmp,Full,Memory data volume [GBytes],1.020733,1.020733,0.000000,0.255183
openmp,Full,Runtime (RDTSC) [s],11.226614,2.806653,2.806653,2.806653
openmp,Full,Runtime unhalted [s],3.563940,1.520983,0.313142,0.890985
openmp,Full,Clock [MHz],11970.450482,2992.797763,2992.164479,2992.612620
openmp,Full,CPI,1.986138,0.642554,0.431070,0.496535
openmp,Full,Memory Read BW [MBytes/s],227.943200,227.943200,0.000000,56.985800
openmp,Full,Memory Write BW [MBytes/s],135.740033,135.740033,0.000000,33.935008
openmp,Full,Memory BW [MBytes/s],363.683233,363.683233,0.000000,90.920808
openmp,Full,Memory data volume [GBytes],1.020733,1.020733,0.000000,0.255183
openmp,Full,Runtime (RDTSC) [s],11.226614,2.806653,2.806653,2.806653
openmp,Full,Runtime unhalted [s],3.563940,1.520983,0.313142,0.890985
openmp,Full,Clock [MHz],11970.450482,2992.797763,2992.164479,2992.612620
openmp,Full,CPI,1.986138,0.642554,0.431070,0.496535
openmp,Full,Memory Read BW [MBytes/s],227.943200,227.943200,0.000000,56.985800
openmp,Full,Memory Write BW [MBytes/s],135.740033,135.740033,0.000000,33.935008
openmp,Full,Memory BW [MBytes/s],363.683233,363.683233,0.000000,90.920808
openmp,Full,Memory data volume [GBytes],1.020733,1.020733,0.000000,0.255183
