Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.712485
openmp,Full,Througput [FPS],140.354
openmp,Full,INSTR_RETIRED_ANY,21232895643.000000,9831961706.000000,2103406505.000000,5308223910.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,10791518463.000000,4600491868.000000,960300977.000000,2697879615.750000
openmp,Full,CPU_CLK_UNHALTED_REF,10792276620.000000,4600562040.000000,960295260.000000,2698069155.000000
openmp,Full,CAS_COUNT_RD,2585255.000000,2585255.000000,0.000000,646313.750000
openmp,Full,CAS_COUNT_WR,1487447.000000,1487447.000000,0.000000,371861.750000
openmp,Full,CAS_COUNT_RD,2555614.000000,2555614.000000,0.000000,638903.500000
openmp,Full,CAS_COUNT_WR,1483644.000000,1483644.000000,0.000000,370911.000000
openmp,Full,CAS_COUNT_RD,2572215.000000,2572215.000000,0.000000,643053.750000
openmp,Full,CAS_COUNT_WR,1488770.000000,1488770.000000,0.000000,372192.500000
openmp,Full,CAS_COUNT_RD,2541271.000000,2541271.000000,0.000000,635317.750000
openmp,Full,CAS_COUNT_WR,1483769.000000,1483769.000000,0.000000,370942.250000
openmp,Full,INSTR_RETIRED_ANY,21232895643.000000,9831961706.000000,2103406505.000000,5308223910.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,10791518463.000000,4600491868.000000,960300977.000000,2697879615.750000
openmp,Full,CPU_CLK_UNHALTED_REF,10792276620.000000,4600562040.000000,960295260.000000,2698069155.000000
openmp,Full,CAS_COUNT_RD,2585255.000000,2585255.000000,0.000000,646313.750000
openmp,Full,CAS_COUNT_WR,1487447.000000,1487447.000000,0.000000,371861.750000
openmp,Full,CAS_COUNT_RD,2555614.000000,2555614.000000,0.000000,638903.500000
openmp,Full,CAS_COUNT_WR,1483644.000000,1483644.000000,0.000000,370911.000000
openmp,Full,CAS_COUNT_RD,2572215.000000,2572215.000000,0.000000,643053.750000
openmp,Full,CAS_COUNT_WR,1488770.000000,1488770.000000,0.000000,372192.500000
openmp,Full,CAS_COUNT_RD,2541271.000000,2541271.000000,0.000000,635317.750000
openmp,Full,CAS_COUNT_WR,1483769.000000,1483769.000000,0.000000,370942.250000
openmp,Full,INSTR_RETIRED_ANY,21232895643.000000,9831961706.000000,2103406505.000000,5308223910.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,10791518463.000000,4600491868.000000,960300977.000000,2697879615.750000
openmp,Full,CPU_CLK_UNHALTED_REF,10792276620.000000,4600562040.000000,960295260.000000,2698069155.000000
openmp,Full,CAS_COUNT_RD,2585255.000000,2585255.000000,0.000000,646313.750000
openmp,Full,CAS_COUNT_WR,1487447.000000,1487447.000000,0.000000,371861.750000
openmp,Full,CAS_COUNT_RD,2555614.000000,2555614.000000,0.000000,638903.500000
openmp,Full,CAS_COUNT_WR,1483644.000000,1483644.000000,0.000000,370911.000000
openmp,Full,CAS_COUNT_RD,2572215.000000,2572215.000000,0.000000,643053.750000
openmp,Full,CAS_COUNT_WR,1488770.000000,1488770.000000,0.000000,372192.500000
openmp,Full,CAS_COUNT_RD,2541271.000000,2541271.000000,0.000000,635317.750000
openmp,Full,CAS_COUNT_WR,1483769.000000,1483769.000000,0.000000,370942.250000
