Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,713040700.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,304278900.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,304120500.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,1384.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,453.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,1188.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,450.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,1557.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,537.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,1290.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,404.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,2448902.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,8569199.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,8542260.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,347.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,125.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,302.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,116.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,373.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,163.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,343.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,144.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,2106997000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,1207194000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,1206763000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CAS_COUNT_RD,10333.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CAS_COUNT_WR,3300.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CAS_COUNT_RD,8693.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CAS_COUNT_WR,2954.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CAS_COUNT_RD,11430.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CAS_COUNT_WR,3765.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CAS_COUNT_RD,8610.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CAS_COUNT_WR,3049.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,527355600.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,245499900.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,245451900.000000
seq-perfmon,BaseDeformationMapping apply,CAS_COUNT_RD,37477.000000
seq-perfmon,BaseDeformationMapping apply,CAS_COUNT_WR,17429.000000
seq-perfmon,BaseDeformationMapping apply,CAS_COUNT_RD,31273.000000
seq-perfmon,BaseDeformationMapping apply,CAS_COUNT_WR,15519.000000
seq-perfmon,BaseDeformationMapping apply,CAS_COUNT_RD,40378.000000
seq-perfmon,BaseDeformationMapping apply,CAS_COUNT_WR,18875.000000
seq-perfmon,BaseDeformationMapping apply,CAS_COUNT_RD,32161.000000
seq-perfmon,BaseDeformationMapping apply,CAS_COUNT_WR,16714.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,3839718000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,1697843000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,1697369000.000000
