Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.082303
seq-perfmon,BaseStrainMapping applyJT,call count,1356.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000041
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.367046
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2712.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.077449
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.544212
seq-perfmon,BaseDeformationMapping applyJ,call count,2518.000000
seq-perfmon,Simu,RDTSC Runtime [s],3.091579
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.125022
seq-perfmon,BaseStrainMapping applyJ,call count,1259.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.082303
seq-perfmon,BaseStrainMapping applyJT,call count,1356.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000041
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.367046
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2712.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.077449
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.544212
seq-perfmon,BaseDeformationMapping applyJ,call count,2518.000000
seq-perfmon,Simu,RDTSC Runtime [s],3.091579
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.125022
seq-perfmon,BaseStrainMapping applyJ,call count,1259.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.082303
seq-perfmon,BaseStrainMapping applyJT,call count,1356.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000041
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,202.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.367046
seq-perfmon,BaseDeformationMapping applyJT vec,call count,2712.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.077449
seq-perfmon,BaseDeformationMapping apply,call count,415.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.544212
seq-perfmon,BaseDeformationMapping applyJ,call count,2518.000000
seq-perfmon,Simu,RDTSC Runtime [s],3.091579
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.125022
seq-perfmon,BaseStrainMapping applyJ,call count,1259.000000
