Config,Expe,Metric,core 0
seq,Full,Simulation time [s],1.54043
seq,Full,Througput [FPS],64.917
seq,Full,Runtime (RDTSC) [s],4.848952
seq,Full,Runtime unhalted [s],3.283372
seq,Full,Clock [MHz],2992.757020
seq,Full,CPI,0.561087
seq,Full,Memory Read BW [MBytes/s],217.670513
seq,Full,Memory Write BW [MBytes/s],103.257942
seq,Full,Memory BW [MBytes/s],320.928456
seq,Full,Memory data volume [GBytes],1.556167
seq,Full,Runtime (RDTSC) [s],4.848952
seq,Full,Runtime unhalted [s],3.283372
seq,Full,Clock [MHz],2992.757020
seq,Full,CPI,0.561087
seq,Full,Memory Read BW [MBytes/s],217.670513
seq,Full,Memory Write BW [MBytes/s],103.257942
seq,Full,Memory BW [MBytes/s],320.928456
seq,Full,Memory data volume [GBytes],1.556167
seq,Full,Runtime (RDTSC) [s],4.848952
seq,Full,Runtime unhalted [s],3.283372
seq,Full,Clock [MHz],2992.757020
seq,Full,CPI,0.561087
seq,Full,Memory Read BW [MBytes/s],217.670513
seq,Full,Memory Write BW [MBytes/s],103.257942
seq,Full,Memory BW [MBytes/s],320.928456
seq,Full,Memory data volume [GBytes],1.556167
