Config,Expe,Event,core 0
seq,Full,Simulation time [s],1.5265
seq,Full,Througput [FPS],65.5093
seq,Full,INSTR_RETIRED_ANY,17462471331.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9804837743.000000
seq,Full,CPU_CLK_UNHALTED_REF,9804957390.000000
seq,Full,CAS_COUNT_RD,3955861.000000
seq,Full,CAS_COUNT_WR,1910841.000000
seq,Full,CAS_COUNT_RD,3938800.000000
seq,Full,CAS_COUNT_WR,1905789.000000
seq,Full,CAS_COUNT_RD,3957905.000000
seq,Full,CAS_COUNT_WR,1913006.000000
seq,Full,CAS_COUNT_RD,3939915.000000
seq,Full,CAS_COUNT_WR,1906717.000000
seq,Full,INSTR_RETIRED_ANY,17462471331.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9804837743.000000
seq,Full,CPU_CLK_UNHALTED_REF,9804957390.000000
seq,Full,CAS_COUNT_RD,3955861.000000
seq,Full,CAS_COUNT_WR,1910841.000000
seq,Full,CAS_COUNT_RD,3938800.000000
seq,Full,CAS_COUNT_WR,1905789.000000
seq,Full,CAS_COUNT_RD,3957905.000000
seq,Full,CAS_COUNT_WR,1913006.000000
seq,Full,CAS_COUNT_RD,3939915.000000
seq,Full,CAS_COUNT_WR,1906717.000000
seq,Full,INSTR_RETIRED_ANY,17462471331.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9804837743.000000
seq,Full,CPU_CLK_UNHALTED_REF,9804957390.000000
seq,Full,CAS_COUNT_RD,3955861.000000
seq,Full,CAS_COUNT_WR,1910841.000000
seq,Full,CAS_COUNT_RD,3938800.000000
seq,Full,CAS_COUNT_WR,1905789.000000
seq,Full,CAS_COUNT_RD,3957905.000000
seq,Full,CAS_COUNT_WR,1913006.000000
seq,Full,CAS_COUNT_RD,3939915.000000
seq,Full,CAS_COUNT_WR,1906717.000000
