Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.074450,0.018613,0.018613,0.018613
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.064207,0.016607,0.015795,0.016052
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],12010.416254,3005.389158,2999.750202,3002.604064
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.148178,0.816899,0.758248,0.787044
openmp-perfmon,BaseStrainMapping applyJ,Load to Store ratio,5.989654,1.522527,1.477919,1.497413
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.293464,0.073366,0.073366,0.073366
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.299629,0.075309,0.074059,0.074907
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11993.462312,2998.979181,2996.997461,2998.365578
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.017238,0.512705,0.499133,0.504310
openmp-perfmon,BaseDeformationMapping applyJ,Load to Store ratio,13.590571,3.425016,3.358830,3.397643
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.038705,0.009676,0.009676,0.009676
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.055635,0.014068,0.013574,0.013909
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12017.742615,3009.692720,3000.776580,3004.435654
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.270056,1.086199,1.026601,1.067514
openmp-perfmon,BaseStrainMapping applyJT,Load to Store ratio,8.823265,2.240504,2.182817,2.205816
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.004076,0.001019,0.001019,0.001019
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002867,0.000736,0.000707,0.000717
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],12021.195669,3007.651730,3003.209292,3005.298917
openmp-perfmon,BaseStrainMapping apply,CPI,3.075429,0.791730,0.747560,0.768857
