Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.552082
openmp,Full,Througput [FPS],181.133
openmp,Full,INSTR_RETIRED_ANY,17233440922.000000,8727148967.000000,1037797720.000000,4308360230.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,9539852908.000000,4590104620.000000,575226090.000000,2384963227.000000
openmp,Full,CPU_CLK_UNHALTED_REF,9540856230.000000,4590410880.000000,575294970.000000,2385214057.500000
openmp,Full,MEM_UOP_RETIRED_LOADS,3515923219.000000,1739184699.000000,252290693.000000,878980804.750000
openmp,Full,MEM_UOP_RETIRED_STORES,1453087940.000000,692982551.000000,87486501.000000,363271985.000000
openmp,Full,INSTR_RETIRED_ANY,17233440922.000000,8727148967.000000,1037797720.000000,4308360230.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,9539852908.000000,4590104620.000000,575226090.000000,2384963227.000000
openmp,Full,CPU_CLK_UNHALTED_REF,9540856230.000000,4590410880.000000,575294970.000000,2385214057.500000
openmp,Full,MEM_UOP_RETIRED_LOADS,3515923219.000000,1739184699.000000,252290693.000000,878980804.750000
openmp,Full,MEM_UOP_RETIRED_STORES,1453087940.000000,692982551.000000,87486501.000000,363271985.000000
openmp,Full,INSTR_RETIRED_ANY,17233440922.000000,8727148967.000000,1037797720.000000,4308360230.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,9539852908.000000,4590104620.000000,575226090.000000,2384963227.000000
openmp,Full,CPU_CLK_UNHALTED_REF,9540856230.000000,4590410880.000000,575294970.000000,2385214057.500000
openmp,Full,MEM_UOP_RETIRED_LOADS,3515923219.000000,1739184699.000000,252290693.000000,878980804.750000
openmp,Full,MEM_UOP_RETIRED_STORES,1453087940.000000,692982551.000000,87486501.000000,363271985.000000
