Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.558209
openmp,Full,Througput [FPS],179.144
openmp,Full,Runtime (RDTSC) [s],11.555456,2.888864,2.888864,2.888864
openmp,Full,Runtime unhalted [s],3.199469,1.547215,0.192241,0.799867
openmp,Full,Clock [MHz],11970.087255,2992.729577,2992.143541,2992.521814
openmp,Full,CPI,2.255284,0.723122,0.434513,0.563821
openmp,Full,Load to Store ratio,10.449054,2.886637,2.171685,2.612264
openmp,Full,Runtime (RDTSC) [s],11.555456,2.888864,2.888864,2.888864
openmp,Full,Runtime unhalted [s],3.199469,1.547215,0.192241,0.799867
openmp,Full,Clock [MHz],11970.087255,2992.729577,2992.143541,2992.521814
openmp,Full,CPI,2.255284,0.723122,0.434513,0.563821
openmp,Full,Load to Store ratio,10.449054,2.886637,2.171685,2.612264
openmp,Full,Runtime (RDTSC) [s],11.555456,2.888864,2.888864,2.888864
openmp,Full,Runtime unhalted [s],3.199469,1.547215,0.192241,0.799867
openmp,Full,Clock [MHz],11970.087255,2992.729577,2992.143541,2992.521814
openmp,Full,CPI,2.255284,0.723122,0.434513,0.563821
openmp,Full,Load to Store ratio,10.449054,2.886637,2.171685,2.612264
