Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.026219
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.037631
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2997.615816
seq-perfmon,BaseStrainMapping applyJ,CPI,0.474707
seq-perfmon,BaseStrainMapping applyJ,Load to Store ratio,1.424221
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.220451
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.244418
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.924304
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.412316
seq-perfmon,BaseDeformationMapping applyJ,Load to Store ratio,3.270800
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.016635
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.028531
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2998.264457
seq-perfmon,BaseStrainMapping applyJT,CPI,0.573353
seq-perfmon,BaseStrainMapping applyJT,Load to Store ratio,2.113085
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001253
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001707
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2995.789291
seq-perfmon,BaseStrainMapping apply,CPI,0.469480
seq-perfmon,BaseStrainMapping apply,Load to Store ratio,1.354572
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000053
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001350
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3006.399909
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.159436
seq-perfmon,BaseDeformationMapping applyJT seqMat,Load to Store ratio,2.262547
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000246
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.011683
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3005.518426
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.049223
seq-perfmon,BaseDeformationMapping applyJT vec else,Load to Store ratio,2.287402
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000322
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.010846
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3005.112923
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.051436
seq-perfmon,BaseDeformationMapping applyJ else,Load to Store ratio,2.275782
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.178109
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.201947
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2993.396381
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.402600
seq-perfmon,BaseDeformationMapping applyJT vec,Load to Store ratio,2.245678
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.022194
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.033523
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2994.793130
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.478711
seq-perfmon,BaseStrainMapping applyDJT,Load to Store ratio,1.911439
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.027191
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.029644
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2993.608766
seq-perfmon,BaseDeformationMapping apply,CPI,0.444770
seq-perfmon,BaseDeformationMapping apply,Load to Store ratio,5.152550
seq-perfmon,Simu,Runtime (RDTSC) [s],1.978565
seq-perfmon,Simu,Runtime unhalted [s],1.083857
seq-perfmon,Simu,Clock [MHz],2992.793851
seq-perfmon,Simu,CPI,0.607959
seq-perfmon,Simu,Load to Store ratio,2.126098
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.026219
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.037631
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2997.615816
seq-perfmon,BaseStrainMapping applyJ,CPI,0.474707
seq-perfmon,BaseStrainMapping applyJ,Load to Store ratio,1.424221
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.220451
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.244418
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.924304
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.412316
seq-perfmon,BaseDeformationMapping applyJ,Load to Store ratio,3.270800
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.016635
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.028531
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2998.264457
seq-perfmon,BaseStrainMapping applyJT,CPI,0.573353
seq-perfmon,BaseStrainMapping applyJT,Load to Store ratio,2.113085
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001253
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001707
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2995.789291
seq-perfmon,BaseStrainMapping apply,CPI,0.469480
seq-perfmon,BaseStrainMapping apply,Load to Store ratio,1.354572
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000053
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001350
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3006.399909
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.159436
seq-perfmon,BaseDeformationMapping applyJT seqMat,Load to Store ratio,2.262547
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000246
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.011683
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3005.518426
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.049223
seq-perfmon,BaseDeformationMapping applyJT vec else,Load to Store ratio,2.287402
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000322
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.010846
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3005.112923
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.051436
seq-perfmon,BaseDeformationMapping applyJ else,Load to Store ratio,2.275782
