Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.026215
seq-perfmon,BaseStrainMapping applyJ,call count,2630.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.220256
seq-perfmon,BaseDeformationMapping applyJ,call count,5367.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.016803
seq-perfmon,BaseStrainMapping applyJT,call count,2727.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001252
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000238
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2727.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000302
seq-perfmon,BaseDeformationMapping applyJ else,call count,2525.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.177863
seq-perfmon,BaseDeformationMapping applyJT vec,call count,5454.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.022097
seq-perfmon,BaseStrainMapping applyDJT,call count,2626.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.027246
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.978071
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.026215
seq-perfmon,BaseStrainMapping applyJ,call count,2630.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.220256
seq-perfmon,BaseDeformationMapping applyJ,call count,5367.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.016803
seq-perfmon,BaseStrainMapping applyJT,call count,2727.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001252
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000238
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2727.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000302
seq-perfmon,BaseDeformationMapping applyJ else,call count,2525.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.177863
seq-perfmon,BaseDeformationMapping applyJT vec,call count,5454.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.022097
seq-perfmon,BaseStrainMapping applyDJT,call count,2626.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.027246
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.978071
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.026215
seq-perfmon,BaseStrainMapping applyJ,call count,2630.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.220256
seq-perfmon,BaseDeformationMapping applyJ,call count,5367.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.016803
seq-perfmon,BaseStrainMapping applyJT,call count,2727.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.001252
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000052
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,303.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000238
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,2727.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000302
seq-perfmon,BaseDeformationMapping applyJ else,call count,2525.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.177863
seq-perfmon,BaseDeformationMapping applyJT vec,call count,5454.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.022097
seq-perfmon,BaseStrainMapping applyDJT,call count,2626.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.027246
seq-perfmon,BaseDeformationMapping apply,call count,522.000000
seq-perfmon,Simu,RDTSC Runtime [s],1.978071
seq-perfmon,Simu,call count,1.000000
