Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.742218
seq,Full,Througput [FPS],134.731
seq,Full,Runtime (RDTSC) [s],4.326781
seq,Full,Runtime unhalted [s],2.756008
seq,Full,Clock [MHz],2992.765494
seq,Full,CPI,0.592997
seq,Full,Load to Store ratio,2.857335
seq,Full,Runtime (RDTSC) [s],4.326781
seq,Full,Runtime unhalted [s],2.756008
seq,Full,Clock [MHz],2992.765494
seq,Full,CPI,0.592997
seq,Full,Load to Store ratio,2.857335
seq,Full,Runtime (RDTSC) [s],4.326781
seq,Full,Runtime unhalted [s],2.756008
seq,Full,Clock [MHz],2992.765494
seq,Full,CPI,0.592997
seq,Full,Load to Store ratio,2.857335
