Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.740826
seq,Full,Througput [FPS],134.984
seq,Full,INSTR_RETIRED_ANY,13902537855.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8259304570.000000
seq,Full,CPU_CLK_UNHALTED_REF,8259683430.000000
seq,Full,MEM_UOP_RETIRED_LOADS,3370528814.000000
seq,Full,MEM_UOP_RETIRED_STORES,1179422274.000000
seq,Full,INSTR_RETIRED_ANY,13902537855.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8259304570.000000
seq,Full,CPU_CLK_UNHALTED_REF,8259683430.000000
seq,Full,MEM_UOP_RETIRED_LOADS,3370528814.000000
seq,Full,MEM_UOP_RETIRED_STORES,1179422274.000000
seq,Full,INSTR_RETIRED_ANY,13902537855.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8259304570.000000
seq,Full,CPU_CLK_UNHALTED_REF,8259683430.000000
seq,Full,MEM_UOP_RETIRED_LOADS,3370528814.000000
seq,Full,MEM_UOP_RETIRED_STORES,1179422274.000000
