Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.055883,0.013971,0.013971,0.013971
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.064432,0.016253,0.015978,0.016108
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],12011.505587,3006.251578,3000.216841,3002.876397
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.161248,0.804791,0.759491,0.790312
openmp-perfmon,BaseStrainMapping applyJ,L2 Load [MBytes/s],12683.463785,3321.655490,3099.811105,3170.865946
openmp-perfmon,BaseStrainMapping applyJ,L2 Evict [MBytes/s],3425.731368,1020.185488,721.833719,856.432842
openmp-perfmon,BaseStrainMapping applyJ,L2 bandwidth [MBytes/s],16109.195153,4224.223645,3821.644825,4027.298788
openmp-perfmon,BaseStrainMapping applyJ,L2 data volume [GBytes],0.225057,0.059015,0.053391,0.056264
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.272253,0.068063,0.068063,0.068063
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.300932,0.076178,0.074094,0.075233
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11990.998409,2999.101099,2997.243340,2997.749602
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.025818,0.513082,0.497949,0.506454
openmp-perfmon,BaseDeformationMapping applyJ,L2 Load [MBytes/s],12875.439377,3252.353117,3192.636506,3218.859844
openmp-perfmon,BaseDeformationMapping applyJ,L2 Evict [MBytes/s],3241.663780,879.497010,742.888257,810.415945
openmp-perfmon,BaseDeformationMapping applyJ,L2 bandwidth [MBytes/s],16117.103157,4131.850127,3970.712692,4029.275789
openmp-perfmon,BaseDeformationMapping applyJ,L2 data volume [GBytes],1.096984,0.281228,0.270260,0.274246
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.038186,0.009547,0.009547,0.009547
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.056799,0.014595,0.013188,0.014200
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12022.247107,3007.480818,3003.509066,3005.561777
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.335793,1.122582,1.042895,1.083948
openmp-perfmon,BaseStrainMapping applyJT,L2 Load [MBytes/s],19489.930186,4976.560333,4749.033578,4872.482547
openmp-perfmon,BaseStrainMapping applyJT,L2 Evict [MBytes/s],5022.724016,1348.045242,1083.217480,1255.681004
