Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.551201
openmp,Full,Througput [FPS],181.422
openmp,Full,INSTR_RETIRED_ANY,17229505886.000000,8731284884.000000,1034783664.000000,4307376471.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,9535873584.000000,4590474891.000000,571625421.000000,2383968396.000000
openmp,Full,CPU_CLK_UNHALTED_REF,9536428590.000000,4590631950.000000,571627440.000000,2384107147.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,473158674.000000,307893388.000000,40415198.000000,118289668.500000
openmp,Full,L2_RQSTS_MISS,91494217.000000,57124715.000000,8715113.000000,22873554.250000
openmp,Full,INSTR_RETIRED_ANY,17229505886.000000,8731284884.000000,1034783664.000000,4307376471.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,9535873584.000000,4590474891.000000,571625421.000000,2383968396.000000
openmp,Full,CPU_CLK_UNHALTED_REF,9536428590.000000,4590631950.000000,571627440.000000,2384107147.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,473158674.000000,307893388.000000,40415198.000000,118289668.500000
openmp,Full,L2_RQSTS_MISS,91494217.000000,57124715.000000,8715113.000000,22873554.250000
openmp,Full,INSTR_RETIRED_ANY,17229505886.000000,8731284884.000000,1034783664.000000,4307376471.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,9535873584.000000,4590474891.000000,571625421.000000,2383968396.000000
openmp,Full,CPU_CLK_UNHALTED_REF,9536428590.000000,4590631950.000000,571627440.000000,2384107147.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,473158674.000000,307893388.000000,40415198.000000,118289668.500000
openmp,Full,L2_RQSTS_MISS,91494217.000000,57124715.000000,8715113.000000,22873554.250000
