Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.547962
openmp,Full,Througput [FPS],182.494
openmp,Full,Runtime (RDTSC) [s],11.461245,2.865311,2.865311,2.865311
openmp,Full,Runtime unhalted [s],3.184292,1.534182,0.191107,0.796073
openmp,Full,Clock [MHz],11970.607665,2992.768385,2992.307758,2992.651916
openmp,Full,CPI,2.247391,0.716269,0.434607,0.561848
openmp,Full,L2 request rate,0.140343,0.048262,0.008947,0.035086
openmp,Full,L2 miss rate,0.028124,0.009283,0.001829,0.007031
openmp,Full,L2 miss ratio,0.806845,0.208298,0.186947,0.201711
openmp,Full,Runtime (RDTSC) [s],11.461245,2.865311,2.865311,2.865311
openmp,Full,Runtime unhalted [s],3.184292,1.534182,0.191107,0.796073
openmp,Full,Clock [MHz],11970.607665,2992.768385,2992.307758,2992.651916
openmp,Full,CPI,2.247391,0.716269,0.434607,0.561848
openmp,Full,L2 request rate,0.140343,0.048262,0.008947,0.035086
openmp,Full,L2 miss rate,0.028124,0.009283,0.001829,0.007031
openmp,Full,L2 miss ratio,0.806845,0.208298,0.186947,0.201711
openmp,Full,Runtime (RDTSC) [s],11.461245,2.865311,2.865311,2.865311
openmp,Full,Runtime unhalted [s],3.184292,1.534182,0.191107,0.796073
openmp,Full,Clock [MHz],11970.607665,2992.768385,2992.307758,2992.651916
openmp,Full,CPI,2.247391,0.716269,0.434607,0.561848
openmp,Full,L2 request rate,0.140343,0.048262,0.008947,0.035086
openmp,Full,L2 miss rate,0.028124,0.009283,0.001829,0.007031
openmp,Full,L2 miss ratio,0.806845,0.208298,0.186947,0.201711
