Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.743403
seq,Full,Througput [FPS],134.517
seq,Full,Runtime (RDTSC) [s],4.328217
seq,Full,Runtime unhalted [s],2.753310
seq,Full,Clock [MHz],2992.619611
seq,Full,CPI,0.592633
seq,Full,L2 request rate,0.025606
seq,Full,L2 miss rate,0.005050
seq,Full,L2 miss ratio,0.197199
seq,Full,Runtime (RDTSC) [s],4.328217
seq,Full,Runtime unhalted [s],2.753310
seq,Full,Clock [MHz],2992.619611
seq,Full,CPI,0.592633
seq,Full,L2 request rate,0.025606
seq,Full,L2 miss rate,0.005050
seq,Full,L2 miss ratio,0.197199
seq,Full,Runtime (RDTSC) [s],4.328217
seq,Full,Runtime unhalted [s],2.753310
seq,Full,Clock [MHz],2992.619611
seq,Full,CPI,0.592633
seq,Full,L2 request rate,0.025606
seq,Full,L2 miss rate,0.005050
seq,Full,L2 miss ratio,0.197199
