Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.738655
seq,Full,Througput [FPS],135.381
seq,Full,INSTR_RETIRED_ANY,13902647514.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8264738532.000000
seq,Full,CPU_CLK_UNHALTED_REF,8265063270.000000
seq,Full,L2_TRANS_ALL_REQUESTS,355492638.000000
seq,Full,L2_RQSTS_MISS,69680641.000000
seq,Full,INSTR_RETIRED_ANY,13902647514.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8264738532.000000
seq,Full,CPU_CLK_UNHALTED_REF,8265063270.000000
seq,Full,L2_TRANS_ALL_REQUESTS,355492638.000000
seq,Full,L2_RQSTS_MISS,69680641.000000
seq,Full,INSTR_RETIRED_ANY,13902647514.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8264738532.000000
seq,Full,CPU_CLK_UNHALTED_REF,8265063270.000000
seq,Full,L2_TRANS_ALL_REQUESTS,355492638.000000
seq,Full,L2_RQSTS_MISS,69680641.000000
