Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.549676
openmp,Full,Througput [FPS],181.925
openmp,Full,INSTR_RETIRED_ANY,17229898035.000000,8730241560.000000,1036274269.000000,4307474508.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,9545125105.000000,4586527146.000000,581581742.000000,2386281276.250000
openmp,Full,CPU_CLK_UNHALTED_REF,9545916810.000000,4586514810.000000,581574480.000000,2386479202.500000
openmp,Full,L2_LINES_IN_ALL,88003408.000000,55063406.000000,8700472.000000,22000852.000000
openmp,Full,L2_LINES_OUT_DIRTY_ALL,6336448.000000,4262428.000000,36665.000000,1584112.000000
openmp,Full,INSTR_RETIRED_ANY,17229898035.000000,8730241560.000000,1036274269.000000,4307474508.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,9545125105.000000,4586527146.000000,581581742.000000,2386281276.250000
openmp,Full,CPU_CLK_UNHALTED_REF,9545916810.000000,4586514810.000000,581574480.000000,2386479202.500000
openmp,Full,L2_LINES_IN_ALL,88003408.000000,55063406.000000,8700472.000000,22000852.000000
openmp,Full,L2_LINES_OUT_DIRTY_ALL,6336448.000000,4262428.000000,36665.000000,1584112.000000
openmp,Full,INSTR_RETIRED_ANY,17229898035.000000,8730241560.000000,1036274269.000000,4307474508.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,9545125105.000000,4586527146.000000,581581742.000000,2386281276.250000
openmp,Full,CPU_CLK_UNHALTED_REF,9545916810.000000,4586514810.000000,581574480.000000,2386479202.500000
openmp,Full,L2_LINES_IN_ALL,88003408.000000,55063406.000000,8700472.000000,22000852.000000
openmp,Full,L2_LINES_OUT_DIRTY_ALL,6336448.000000,4262428.000000,36665.000000,1584112.000000
