Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.558173
openmp,Full,Througput [FPS],179.156
openmp,Full,Runtime (RDTSC) [s],11.493685,2.873421,2.873421,2.873421
openmp,Full,Runtime unhalted [s],3.191643,1.533754,0.192618,0.797911
openmp,Full,Clock [MHz],11969.891110,2992.742552,2992.007769,2992.472778
openmp,Full,CPI,2.255008,0.716498,0.436082,0.563752
openmp,Full,L3 Load [MBytes/s],2055.895729,1258.881771,215.388318,513.973932
openmp,Full,L3 Evict [MBytes/s],143.456250,96.754058,1.556823,35.864062
openmp,Full,L3 bandwidth [MBytes/s],2199.351979,1355.635829,216.945141,549.837995
openmp,Full,L3 data volume [GBytes],6.319665,3.895313,0.623375,1.579916
openmp,Full,Runtime (RDTSC) [s],11.493685,2.873421,2.873421,2.873421
openmp,Full,Runtime unhalted [s],3.191643,1.533754,0.192618,0.797911
openmp,Full,Clock [MHz],11969.891110,2992.742552,2992.007769,2992.472778
openmp,Full,CPI,2.255008,0.716498,0.436082,0.563752
openmp,Full,L3 Load [MBytes/s],2055.895729,1258.881771,215.388318,513.973932
openmp,Full,L3 Evict [MBytes/s],143.456250,96.754058,1.556823,35.864062
openmp,Full,L3 bandwidth [MBytes/s],2199.351979,1355.635829,216.945141,549.837995
openmp,Full,L3 data volume [GBytes],6.319665,3.895313,0.623375,1.579916
openmp,Full,Runtime (RDTSC) [s],11.493685,2.873421,2.873421,2.873421
openmp,Full,Runtime unhalted [s],3.191643,1.533754,0.192618,0.797911
openmp,Full,Clock [MHz],11969.891110,2992.742552,2992.007769,2992.472778
openmp,Full,CPI,2.255008,0.716498,0.436082,0.563752
openmp,Full,L3 Load [MBytes/s],2055.895729,1258.881771,215.388318,513.973932
openmp,Full,L3 Evict [MBytes/s],143.456250,96.754058,1.556823,35.864062
openmp,Full,L3 bandwidth [MBytes/s],2199.351979,1355.635829,216.945141,549.837995
openmp,Full,L3 data volume [GBytes],6.319665,3.895313,0.623375,1.579916
